time,minute,activity_top3,delta_top3,activity_rank,delta_rank
16:05,965,"g4,g5,g3","g1,g2,g3",1:g4;2:g5;3:g3;4:g9;5:g1;6:g7;7:g8;8:g2;9:g6,1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9
16:10,970,"g4,g5,g1","g5,g3,g4",1:g4;2:g5;3:g1;4:g2;5:g3;6:g6;7:g7;8:g8;9:g9,1:g5;2:g3;3:g4;4:g9;5:g7;6:g6;7:g2;8:g1;9:g8
16:15,975,"g3,g4,g2","g1,g2,g3",1:g3;2:g4;3:g2;4:g5;5:g6;6:g7;7:g8;8:g1;9:g9,1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9
16:20,980,"g4,g8,g3","g1,g2,g3",1:g4;2:g8;3:g3;4:g5;5:g1;6:g2;7:g6;8:g7;9:g9,1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9
16:25,985,"g2,g4,g5","g1,g2,g3",1:g2;2:g4;3:g5;4:g6;5:g8;6:g1;7:g3;8:g7;9:g9,1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9
16:30,990,"g2,g3,g5","g4,g5,g3",1:g2;2:g3;3:g5;4:g6;5:g7;6:g8;7:g1;8:g4;9:g9,1:g4;2:g5;3:g3;4:g7;5:g8;6:g1;7:g2;8:g9;9:g6
16:35,995,"g5,g4,g6","g1,g2,g3",1:g5;2:g4;3:g6;4:g7;5:g8;6:g1;7:g2;8:g3;9:g9,1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9
16:40,1000,"g7,g4,g6","g1,g2,g3",1:g7;2:g4;3:g6;4:g1;5:g2;6:g3;7:g5;8:g8;9:g9,1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9
16:45,1005,"g5,g6,g4","g1,g2,g3",1:g5;2:g6;3:g4;4:g7;5:g1;6:g2;7:g3;8:g8;9:g9,1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9
16:50,1010,"g4,g6,g7","g6,g8,g2",1:g4;2:g6;3:g7;4:g1;5:g2;6:g3;7:g5;8:g8;9:g9,1:g6;2:g8;3:g2;4:g5;5:g7;6:g4;7:g1;8:g3;9:g9
16:55,1015,"g7,g1,g4","g1,g2,g3",1:g7;2:g1;3:g4;4:g6;5:g2;6:g3;7:g5;8:g8;9:g9,1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9
17:00,1020,"g1,g6,g9","g1,g2,g3",1:g1;2:g6;3:g9;4:g2;5:g3;6:g4;7:g5;8:g7;9:g8,1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9
17:05,1025,"g1,g8,g6","g6,g7,g4",1:g1;2:g8;3:g6;4:g7;5:g9;6:g2;7:g3;8:g4;9:g5,1:g6;2:g7;3:g4;4:g5;5:g1;6:g2;7:g9;8:g3;9:g8
