order,time,machine,group,source
1,10:11,0049,g4,PSCUBE history CSV status=初当り
2,10:11,0056,g2,PSCUBE history CSV status=初当り
3,10:13,0039,g3,PSCUBE history CSV status=初当り
4,10:13,0040,g4,PSCUBE history CSV status=初当り
5,10:15,0064,g1,PSCUBE history CSV status=初当り
6,10:49,0055,g1,PSCUBE history CSV status=初当り
7,10:52,0071,g8,PSCUBE history CSV status=初当り
8,10:54,0046,g1,PSCUBE history CSV status=初当り
9,10:56,0062,g8,PSCUBE history CSV status=初当り
10,10:59,0075,g3,PSCUBE history CSV status=初当り
11,11:02,0066,g3,PSCUBE history CSV status=初当り
12,11:02,0074,g2,PSCUBE history CSV status=初当り
13,11:21,0069,g6,PSCUBE history CSV status=初当り
14,11:26,0053,g8,PSCUBE history CSV status=初当り
15,11:31,0060,g6,PSCUBE history CSV status=初当り
16,11:52,0052,g7,PSCUBE history CSV status=初当り
17,12:07,0044,g8,PSCUBE history CSV status=初当り
18,12:11,0041,g5,PSCUBE history CSV status=初当り
19,12:14,0059,g5,PSCUBE history CSV status=初当り
20,12:24,0047,g2,PSCUBE history CSV status=初当り
21,12:24,0058,g4,PSCUBE history CSV status=初当り
22,12:28,0068,g5,PSCUBE history CSV status=初当り
23,12:46,0051,g6,PSCUBE history CSV status=初当り
24,12:47,0045,g9,PSCUBE history CSV status=初当り
25,12:49,0067,g4,PSCUBE history CSV status=初当り
26,12:51,0054,g9,PSCUBE history CSV status=初当り
27,12:56,0042,g6,PSCUBE history CSV status=初当り
28,13:05,0065,g2,PSCUBE history CSV status=初当り
29,13:23,0077,g5,PSCUBE history CSV status=初当り
30,13:38,0050,g5,PSCUBE history CSV status=初当り
31,14:13,0063,g9,PSCUBE history CSV status=初当り
32,15:02,0057,g3,PSCUBE history CSV status=初当り
33,15:26,0043,g7,PSCUBE history CSV status=初当り
34,15:30,0072,g9,PSCUBE history CSV status=初当り
35,15:44,0076,g4,PSCUBE history CSV status=初当り
36,16:30,0070,g7,PSCUBE history CSV status=初当り
37,16:31,0048,g3,PSCUBE history CSV status=初当り
