group,machine_count,machines,initial_count,continuation_count,total_hit_count,continuation_per_initial,final_group_close
g1,4,"046,055,064,073",14,39,53,2.7857,21716
g2,4,"047,056,065,074",19,42,61,2.2105,4657
g3,5,"039,048,057,066,075",15,37,52,2.4667,-4100
g4,5,"040,049,058,067,076",21,59,80,2.8095,34999
g5,5,"041,050,059,068,077",23,74,97,3.2174,20295
g6,4,"042,051,060,069",23,41,64,1.7826,20258
g7,4,"043,052,061,070",8,32,40,4.0,-4648
g8,4,"044,053,062,071",17,57,74,3.3529,27984
g9,4,"045,054,063,072",15,20,35,1.3333,-23478
