group,wavelab_rank,morning_rank,activity_start_rank,peak_activity_rank,peak_delta_rank,final_rank
g1,4,4,4,7,1,3
g2,7,1,1,8,7,6
g3,3,3,2,2,9,7
g4,8,2,3,9,5,1
g5,6,8,8,3,6,4
g6,1,6,6,4,8,5
g7,5,7,7,6,4,8
g8,9,5,5,5,2,2
g9,2,9,9,1,3,9
