group,time_bin,start_time,end_time,initial_count,continuation_count,total_hit_count,continuation_per_initial
g1,09-12,09:00,12:00,4,11,15,2.75
g1,12-15,12:00,15:00,6,18,24,3.0
g1,15-18,15:00,18:00,4,10,14,2.5
g1,18-close,18:00,24:00,0,0,0,
g2,09-12,09:00,12:00,3,10,13,3.3333
g2,12-15,12:00,15:00,3,4,7,1.3333
g2,15-18,15:00,18:00,5,8,13,1.6
g2,18-close,18:00,24:00,8,20,28,2.5
g3,09-12,09:00,12:00,6,13,19,2.1667
g3,12-15,12:00,15:00,3,2,5,0.6667
g3,15-18,15:00,18:00,6,22,28,3.6667
g3,18-close,18:00,24:00,0,0,0,
g4,09-12,09:00,12:00,3,6,9,2.0
g4,12-15,12:00,15:00,7,18,25,2.5714
g4,15-18,15:00,18:00,9,27,36,3.0
g4,18-close,18:00,24:00,2,8,10,4.0
g5,09-12,09:00,12:00,0,0,0,
g5,12-15,12:00,15:00,13,20,33,1.5385
g5,15-18,15:00,18:00,5,28,33,5.6
g5,18-close,18:00,24:00,5,26,31,5.2
g6,09-12,09:00,12:00,3,4,7,1.3333
g6,12-15,12:00,15:00,9,11,20,1.2222
g6,15-18,15:00,18:00,5,16,21,3.2
g6,18-close,18:00,24:00,6,10,16,1.6667
g7,09-12,09:00,12:00,1,1,2,1.0
g7,12-15,12:00,15:00,3,5,8,1.6667
g7,15-18,15:00,18:00,3,17,20,5.6667
g7,18-close,18:00,24:00,1,9,10,9.0
g8,09-12,09:00,12:00,3,8,11,2.6667
g8,12-15,12:00,15:00,6,22,28,3.6667
g8,15-18,15:00,18:00,6,26,32,4.3333
g8,18-close,18:00,24:00,2,1,3,0.5
g9,09-12,09:00,12:00,0,0,0,
g9,12-15,12:00,15:00,6,10,16,1.6667
g9,15-18,15:00,18:00,6,9,15,1.5
g9,18-close,18:00,24:00,3,1,4,0.3333
