window,time,minute,hit_count
5,10:10,610,4
5,10:15,615,1
5,10:20,620,0
5,10:25,625,0
5,10:30,630,0
5,10:35,635,0
5,10:40,640,1
5,10:45,645,2
5,10:50,650,2
5,10:55,655,2
5,11:00,660,2
5,11:05,665,0
5,11:10,670,0
5,11:15,675,1
5,11:20,680,2
5,11:25,685,1
5,11:30,690,1
5,11:35,695,0
5,11:40,700,1
5,11:45,705,1
5,11:50,710,2
5,11:55,715,0
5,12:00,720,0
5,12:05,725,2
5,12:10,730,3
5,12:15,735,0
5,12:20,740,2
5,12:25,745,1
5,12:30,750,1
5,12:35,755,0
5,12:40,760,2
5,12:45,765,4
5,12:50,770,4
5,12:55,775,2
5,13:00,780,2
5,13:05,785,3
5,13:10,790,1
5,13:15,795,2
5,13:20,800,2
5,13:25,805,0
5,13:30,810,0
5,13:35,815,4
5,13:40,820,1
5,13:45,825,2
5,13:50,830,1
5,13:55,835,1
5,14:00,840,1
5,14:05,845,0
5,14:10,850,1
5,14:15,855,2
5,14:20,860,3
5,14:25,865,1
5,14:30,870,2
5,14:35,875,1
5,14:40,880,2
5,14:45,885,0
5,14:50,890,2
5,14:55,895,1
5,15:00,900,1
5,15:05,905,2
5,15:10,910,4
5,15:15,915,0
5,15:20,920,2
5,15:25,925,3
5,15:30,930,2
5,15:35,935,0
5,15:40,940,2
5,15:45,945,4
5,15:50,950,1
5,15:55,955,4
5,16:00,960,1
5,16:05,965,2
5,16:10,970,3
5,16:15,975,0
5,16:20,980,0
5,16:25,985,1
5,16:30,990,4
5,16:35,995,0
5,16:40,1000,0
5,16:45,1005,1
5,16:50,1010,0
5,16:55,1015,1
5,17:00,1020,1
5,17:05,1025,1
5,17:10,1030,2
5,17:15,1035,1
5,17:20,1040,1
5,17:25,1045,1
5,17:30,1050,0
5,17:35,1055,2
5,17:40,1060,0
5,17:45,1065,1
5,17:50,1070,0
5,17:55,1075,1
5,18:00,1080,2
5,18:05,1085,0
5,18:10,1090,0
5,18:15,1095,1
5,18:20,1100,3
5,18:25,1105,1
5,18:30,1110,0
5,18:35,1115,1
5,18:40,1120,0
5,18:45,1125,1
5,18:50,1130,1
5,18:55,1135,2
5,19:00,1140,1
5,19:05,1145,1
5,19:10,1150,1
5,19:15,1155,0
5,19:20,1160,1
5,19:25,1165,1
5,19:30,1170,1
5,19:35,1175,0
5,19:40,1180,1
5,19:45,1185,0
5,19:50,1190,0
5,19:55,1195,0
5,20:00,1200,1
5,20:05,1205,2
5,20:10,1210,1
5,20:15,1215,0
5,20:20,1220,0
5,20:25,1225,0
5,20:30,1230,0
5,20:35,1235,0
5,20:40,1240,2
5,20:45,1245,1
5,20:50,1250,0
5,20:55,1255,1
10,10:10,610,5
10,10:20,620,0
10,10:30,630,0
10,10:40,640,3
10,10:50,650,4
10,11:00,660,2
10,11:10,670,1
10,11:20,680,3
10,11:30,690,1
10,11:40,700,2
10,11:50,710,2
10,12:00,720,2
10,12:10,730,3
10,12:20,740,3
10,12:30,750,1
10,12:40,760,6
10,12:50,770,6
10,13:00,780,5
10,13:10,790,3
10,13:20,800,2
10,13:30,810,4
10,13:40,820,3
10,13:50,830,2
10,14:00,840,1
10,14:10,850,3
10,14:20,860,4
10,14:30,870,3
10,14:40,880,2
10,14:50,890,3
10,15:00,900,3
10,15:10,910,4
10,15:20,920,5
10,15:30,930,2
10,15:40,940,6
10,15:50,950,5
10,16:00,960,3
10,16:10,970,3
10,16:20,980,1
10,16:30,990,4
10,16:40,1000,1
10,16:50,1010,1
10,17:00,1020,2
10,17:10,1030,3
10,17:20,1040,2
10,17:30,1050,2
10,17:40,1060,1
10,17:50,1070,1
10,18:00,1080,2
10,18:10,1090,1
10,18:20,1100,4
10,18:30,1110,1
10,18:40,1120,1
10,18:50,1130,3
10,19:00,1140,2
10,19:10,1150,1
10,19:20,1160,2
10,19:30,1170,1
10,19:40,1180,1
10,19:50,1190,0
10,20:00,1200,3
10,20:10,1210,1
10,20:20,1220,0
10,20:30,1230,0
10,20:40,1240,3
10,20:50,1250,1
30,10:00,600,5
30,10:30,630,7
30,11:00,660,6
30,11:30,690,5
30,12:00,720,8
30,12:30,750,13
30,13:00,780,10
30,13:30,810,9
30,14:00,840,8
30,14:30,870,8
30,15:00,900,12
30,15:30,930,13
30,16:00,960,7
30,16:30,990,6
30,17:00,1020,7
30,17:30,1050,4
30,18:00,1080,7
30,18:30,1110,5
30,19:00,1140,5
30,19:30,1170,2
30,20:00,1200,4
30,20:30,1230,4
