machine,group,initial_count,continuation_count,total_hit_count,continuation_per_initial,high,low,close
0039,g3,6,13,19,2.1667,9052,-6756,3621
0040,g4,7,11,18,1.5714,11034,0,2586
0041,g5,6,10,16,1.6667,1379,-15822,-15289
0042,g6,3,2,5,0.6667,2069,-5956,-5867
0043,g7,2,7,9,3.5,0,-14222,-8000
0044,g8,3,16,19,5.3333,21322,-1277,15620
0045,g9,3,3,6,1.0,0,-7289,-6756
0046,g1,7,18,25,2.5714,18793,-1244,18103
0047,g2,5,6,11,1.2,0,-15822,-12267
0048,g3,1,0,1,0.0,0,-6222,-6222
0049,g4,6,20,26,3.3333,15862,-5156,14310
0050,g5,5,14,19,2.8,9569,-9778,8190
0051,g6,7,8,15,1.1429,0,-12267,-2667
0052,g7,5,15,20,3.0,12069,-1244,12069
0053,g8,4,6,10,1.5,6897,-4533,-4533
0054,g9,8,11,19,1.375,13966,-889,12069
0055,g1,2,8,10,4.0,9741,0,86
0056,g2,5,17,22,3.4,14483,-178,12414
0057,g3,2,8,10,4.0,5948,-6400,3276
0058,g4,3,16,19,5.3333,15345,-1422,11207
0059,g5,4,12,16,3.0,12414,-2489,9828
0060,g6,8,20,28,2.5,26033,-766,26033
0061,g7,0,0,0,,0,-8889,-8889
0062,g8,6,17,23,2.8333,3276,-12978,2759
0063,g9,1,1,2,1.0,0,-22213,-22213
0064,g1,5,13,18,2.6,20331,0,12149
0065,g2,5,9,14,1.8,6638,-5600,6466
0066,g3,3,11,14,3.6667,8621,-3822,2069
0067,g4,4,6,10,1.5,5862,0,862
0068,g5,3,3,6,1.0,1207,-18844,-18844
0069,g6,5,11,16,2.2,3966,-10844,2759
0070,g7,1,10,11,10.0,3276,-11733,172
0071,g8,4,18,22,4.5,15862,-1778,14138
0072,g9,3,5,8,1.6667,0,-13156,-6578
0073,g1,0,0,0,,0,-8622,-8622
0074,g2,4,10,14,2.5,7672,-3111,-1956
0075,g3,3,5,8,1.6667,5431,-6844,-6844
0076,g4,1,6,7,6.0,6552,-2667,6034
0077,g5,5,35,40,7.0,37436,-6494,36410
