machine,group,initial_count,continuation_count,total_hit_count,continuation_per_initial,high,low,close
0039,g3,3,16,19,5.3333,10345,-4089,6552
0040,g4,4,9,13,2.25,3190,-6933,-2400
0041,g5,5,36,41,7.2,31538,-5195,30769
0042,g6,5,10,15,2.0,1034,-17778,-15289
0043,g7,8,23,31,2.875,23554,0,22810
0044,g8,5,9,14,1.8,5172,-15289,-15289
0045,g9,6,13,19,2.1667,7931,-1956,-1956
0046,g1,7,6,13,0.8571,5517,-10844,-9244
0047,g2,9,11,20,1.2222,1379,-13689,-6222
0048,g3,5,6,11,1.2,0,-12800,-10667
0049,g4,8,23,31,2.875,25785,-1021,13388
0050,g5,4,20,24,5.0,14828,-9778,11207
0051,g6,8,9,17,1.125,3103,-14578,-10844
0052,g7,2,6,8,3.0,862,-19911,-19911
0053,g8,3,20,23,6.6667,21074,-2809,15620
0054,g9,5,11,16,2.2,13793,-1956,6724
0055,g1,7,15,22,2.1429,17069,0,9828
0056,g2,4,7,11,1.75,0,-21447,-16340
0057,g3,7,22,29,3.1429,29008,0,24793
0058,g4,5,6,11,1.2,9569,-6311,-6311
0059,g5,8,25,33,3.125,24545,-1021,24298
0060,g6,2,5,7,2.5,0,-17600,-17600
0061,g7,6,19,25,3.1667,14876,-11915,12893
0062,g8,8,19,27,2.375,15345,-6400,13793
0063,g9,5,14,19,2.8,7845,-5956,690
0064,g1,2,1,3,0.5,0,-29872,-29872
0065,g2,5,12,17,2.4,517,-10667,-3378
0066,g3,8,18,26,2.25,9052,-8533,8276
0067,g4,7,18,25,2.5714,15000,-2133,12931
0068,g5,5,14,19,2.8,15517,-1422,7759
0069,g6,3,3,6,1.0,0,-22723,-22723
0070,g7,3,12,15,4.0,0,-15289,-1422
0071,g8,9,21,30,2.3333,12759,-4800,12414
0072,g9,8,18,26,2.25,11897,-5333,10862
0073,g1,3,8,11,2.6667,0,-13333,-9778
0074,g2,7,19,26,2.7143,10172,-9778,9655
0075,g3,5,8,13,1.6,345,-7644,-5956
0076,g4,6,12,18,2.0,5517,-11200,2414
0077,g5,4,8,12,2.0,0,-11378,-11378
