order,time,machine,group,source
1,10:18,0045,g9,PSCUBE history CSV status=初当り
2,10:19,0055,g1,PSCUBE history CSV status=初当り
3,10:21,0047,g2,PSCUBE history CSV status=初当り
4,10:22,0071,g8,PSCUBE history CSV status=初当り
5,10:34,0039,g3,PSCUBE history CSV status=初当り
6,10:35,0049,g4,PSCUBE history CSV status=初当り
7,10:45,0062,g8,PSCUBE history CSV status=初当り
8,11:05,0043,g7,PSCUBE history CSV status=初当り
9,11:15,0057,g3,PSCUBE history CSV status=初当り
10,11:16,0063,g9,PSCUBE history CSV status=初当り
11,11:22,0067,g4,PSCUBE history CSV status=初当り
12,11:24,0068,g5,PSCUBE history CSV status=初当り
13,11:25,0051,g6,PSCUBE history CSV status=初当り
14,11:29,0059,g5,PSCUBE history CSV status=初当り
15,11:48,0076,g4,PSCUBE history CSV status=初当り
16,11:51,0053,g8,PSCUBE history CSV status=初当り
17,11:53,0061,g7,PSCUBE history CSV status=初当り
18,11:54,0041,g5,PSCUBE history CSV status=初当り
19,11:56,0074,g2,PSCUBE history CSV status=初当り
20,11:59,0065,g2,PSCUBE history CSV status=初当り
21,12:04,0072,g9,PSCUBE history CSV status=初当り
22,12:12,0054,g9,PSCUBE history CSV status=初当り
23,12:13,0050,g5,PSCUBE history CSV status=初当り
24,12:13,0070,g7,PSCUBE history CSV status=初当り
25,12:20,0044,g8,PSCUBE history CSV status=初当り
26,12:25,0058,g4,PSCUBE history CSV status=初当り
27,12:28,0052,g7,PSCUBE history CSV status=初当り
28,12:30,0042,g6,PSCUBE history CSV status=初当り
29,13:00,0066,g3,PSCUBE history CSV status=初当り
30,13:14,0069,g6,PSCUBE history CSV status=初当り
31,13:21,0040,g4,PSCUBE history CSV status=初当り
32,13:30,0075,g3,PSCUBE history CSV status=初当り
33,13:32,0077,g5,PSCUBE history CSV status=初当り
34,13:42,0046,g1,PSCUBE history CSV status=初当り
35,13:54,0060,g6,PSCUBE history CSV status=初当り
36,14:01,0073,g1,PSCUBE history CSV status=初当り
37,14:02,0064,g1,PSCUBE history CSV status=初当り
38,14:28,0048,g3,PSCUBE history CSV status=初当り
39,15:21,0056,g2,PSCUBE history CSV status=初当り
