machine,group,first_hit_time,first_hit_order,source
0039,g3,10:34,5,PSCUBE history CSV status=初当り
0040,g4,13:21,31,PSCUBE history CSV status=初当り
0041,g5,11:54,18,PSCUBE history CSV status=初当り
0042,g6,12:30,28,PSCUBE history CSV status=初当り
0043,g7,11:05,8,PSCUBE history CSV status=初当り
0044,g8,12:20,25,PSCUBE history CSV status=初当り
0045,g9,10:18,1,PSCUBE history CSV status=初当り
0046,g1,13:42,34,PSCUBE history CSV status=初当り
0047,g2,10:21,3,PSCUBE history CSV status=初当り
0048,g3,14:28,38,PSCUBE history CSV status=初当り
0049,g4,10:35,6,PSCUBE history CSV status=初当り
0050,g5,12:13,23,PSCUBE history CSV status=初当り
0051,g6,11:25,13,PSCUBE history CSV status=初当り
0052,g7,12:28,27,PSCUBE history CSV status=初当り
0053,g8,11:51,16,PSCUBE history CSV status=初当り
0054,g9,12:12,22,PSCUBE history CSV status=初当り
0055,g1,10:19,2,PSCUBE history CSV status=初当り
0056,g2,15:21,39,PSCUBE history CSV status=初当り
0057,g3,11:15,9,PSCUBE history CSV status=初当り
0058,g4,12:25,26,PSCUBE history CSV status=初当り
0059,g5,11:29,14,PSCUBE history CSV status=初当り
0060,g6,13:54,35,PSCUBE history CSV status=初当り
0061,g7,11:53,17,PSCUBE history CSV status=初当り
0062,g8,10:45,7,PSCUBE history CSV status=初当り
0063,g9,11:16,10,PSCUBE history CSV status=初当り
0064,g1,14:02,37,PSCUBE history CSV status=初当り
0065,g2,11:59,20,PSCUBE history CSV status=初当り
0066,g3,13:00,29,PSCUBE history CSV status=初当り
0067,g4,11:22,11,PSCUBE history CSV status=初当り
0068,g5,11:24,12,PSCUBE history CSV status=初当り
0069,g6,13:14,30,PSCUBE history CSV status=初当り
0070,g7,12:13,24,PSCUBE history CSV status=初当り
0071,g8,10:22,4,PSCUBE history CSV status=初当り
0072,g9,12:04,21,PSCUBE history CSV status=初当り
0073,g1,14:01,36,PSCUBE history CSV status=初当り
0074,g2,11:56,19,PSCUBE history CSV status=初当り
0075,g3,13:30,32,PSCUBE history CSV status=初当り
0076,g4,11:48,15,PSCUBE history CSV status=初当り
0077,g5,13:32,33,PSCUBE history CSV status=初当り
