group,wavelab_rank,morning_rank,activity_start_rank,peak_activity_rank,peak_delta_rank,final_rank
g1,6,2,1,3,4,8
g2,7,3,3,5,9,7
g3,1,5,5,6,8,3
g4,2,6,6,7,7,4
g5,8,8,8,4,1,1
g6,9,9,9,8,5,9
g7,5,7,7,2,2,6
g8,3,4,4,9,6,2
g9,4,1,2,1,3,5
