group,time_bin,start_time,end_time,initial_count,continuation_count,total_hit_count,continuation_per_initial
g1,09-12,09:00,12:00,3,7,10,2.3333
g1,12-15,12:00,15:00,6,8,14,1.3333
g1,15-18,15:00,18:00,5,7,12,1.4
g1,18-close,18:00,24:00,5,8,13,1.6
g2,09-12,09:00,12:00,4,2,6,0.5
g2,12-15,12:00,15:00,3,5,8,1.6667
g2,15-18,15:00,18:00,9,15,24,1.6667
g2,18-close,18:00,24:00,9,27,36,3.0
g3,09-12,09:00,12:00,3,11,14,3.6667
g3,12-15,12:00,15:00,7,21,28,3.0
g3,15-18,15:00,18:00,12,19,31,1.5833
g3,18-close,18:00,24:00,6,19,25,3.1667
g4,09-12,09:00,12:00,5,15,20,3.0
g4,12-15,12:00,15:00,11,21,32,1.9091
g4,15-18,15:00,18:00,10,25,35,2.5
g4,18-close,18:00,24:00,4,7,11,1.75
g5,09-12,09:00,12:00,4,9,13,2.25
g5,12-15,12:00,15:00,10,33,43,3.3
g5,15-18,15:00,18:00,9,22,31,2.4444
g5,18-close,18:00,24:00,3,39,42,13.0
g6,09-12,09:00,12:00,2,3,5,1.5
g6,12-15,12:00,15:00,4,8,12,2.0
g6,15-18,15:00,18:00,6,8,14,1.3333
g6,18-close,18:00,24:00,6,8,14,1.3333
g7,09-12,09:00,12:00,3,6,9,2.0
g7,12-15,12:00,15:00,9,24,33,2.6667
g7,15-18,15:00,18:00,5,27,32,5.4
g7,18-close,18:00,24:00,2,3,5,1.5
g8,09-12,09:00,12:00,5,8,13,1.6
g8,12-15,12:00,15:00,9,15,24,1.6667
g8,15-18,15:00,18:00,5,27,32,5.4
g8,18-close,18:00,24:00,6,19,25,3.1667
g9,09-12,09:00,12:00,3,10,13,3.3333
g9,12-15,12:00,15:00,12,25,37,2.0833
g9,15-18,15:00,18:00,6,15,21,2.5
g9,18-close,18:00,24:00,3,6,9,2.0
