Date,Machine,Group,Island,Open,High,Low,Close,Source,PointCount
2026/08/31,0035,8,s2,0,1379,-4711,-3467,svg,30
2026/08/31,0036,9,s2,0,4397,-6578,4397,svg,45
2026/08/31,0037,1,s2,0,0,-6489,-533,svg,32
2026/08/31,0038,2,s2,0,1724,-3200,-3200,svg,29
2026/08/31,0039,3,s3,0,0,-25787,-25787,svg,49
2026/08/31,0040,4,s3,0,0,-5689,-178,svg,36
2026/08/31,0041,5,s3,0,19138,0,11897,svg,43
2026/08/31,0042,6,s3,0,3879,-7644,-7644,svg,43
2026/08/31,0043,7,s3,0,4224,-3111,-3111,svg,40
2026/08/31,0044,8,s3,0,17931,-711,13276,svg,41
2026/08/31,0045,9,s3,0,0,-12444,-12444,svg,32
2026/08/31,0046,1,s3,0,9483,-3644,7241,svg,41
2026/08/31,0047,2,s3,0,29744,-1558,29744,svg,41
2026/08/31,0048,3,s3,0,1736,-22468,-22468,svg,40
2026/08/31,0049,4,s3,0,26033,-2298,22562,svg,47
2026/08/31,0050,5,s3,0,8793,0,6121,svg,33
2026/08/31,0051,6,s3,0,21570,-6638,19091,svg,47
2026/08/31,0052,7,s3,0,0,-10133,-10133,svg,32
2026/08/31,0053,8,s3,0,11552,-1244,1724,svg,41
2026/08/31,0054,9,s3,0,6198,-24766,-18638,svg,46
2026/08/31,0055,1,s3,0,2759,-8711,-1067,svg,46
2026/08/31,0056,2,s3,0,0,-16711,-16711,svg,40
2026/08/31,0057,3,s3,0,2931,-9600,1379,svg,45
2026/08/31,0058,4,s4,0,0,-20426,-20426,svg,38
2026/08/31,0059,5,s4,0,10517,0,690,svg,47
2026/08/31,0060,6,s4,0,0,-14756,-8000,svg,38
2026/08/31,0061,7,s4,0,27273,-1277,22066,svg,40
2026/08/31,0062,8,s4,0,0,-17067,-16533,svg,40
2026/08/31,0063,9,s4,0,862,-8356,-1244,svg,40
2026/08/31,0064,1,s4,0,8879,-4800,-4800,svg,38
2026/08/31,0065,2,s4,0,7672,-800,259,svg,44
2026/08/31,0066,3,s4,0,0,-17778,-17778,svg,37
2026/08/31,0067,4,s4,0,4310,-5600,2414,svg,38
2026/08/31,0068,5,s4,0,25289,0,25041,svg,39
2026/08/31,0069,6,s4,0,3966,-6756,-4800,svg,41
2026/08/31,0070,7,s4,0,2155,-8711,-6933,svg,43
2026/08/31,0071,8,s4,0,14138,-356,12759,svg,40
2026/08/31,0072,9,s4,0,32308,-1558,28974,svg,44
2026/08/31,0073,1,s4,0,10690,-2844,7931,svg,37
2026/08/31,0074,2,s4,0,8966,-14756,8966,svg,39
2026/08/31,0075,3,s4,0,1034,-9956,-9956,svg,47
2026/08/31,0076,4,s4,0,0,-7022,-7022,svg,36
2026/08/31,0077,5,s4,0,32051,-1558,28205,svg,37
2026/08/31,0118,1,s7,0,0,-14044,-14044,svg,47
2026/08/31,0119,2,s7,0,3190,-622,3190,svg,30
2026/08/31,0120,3,s7,0,0,-4000,-4000,svg,51
2026/08/31,0121,4,s7,0,5776,-533,4052,svg,22
2026/08/31,0148,4,s8,0,0,-7556,-7556,svg,70
2026/08/31,0149,5,s8,0,0,-16356,-16356,svg,36
2026/08/31,0150,6,s8,0,0,-6044,-6044,svg,56
2026/08/31,0151,7,s8,0,0,-6311,-6311,svg,59
2026/08/31,0152,8,s8,0,0,-22723,-22723,svg,40
2026/08/31,0153,9,s8,0,24793,-6128,24793,svg,28
2026/08/31,0154,1,s9,0,0,-4267,-4267,svg,35
2026/08/31,0155,2,s9,0,259,-2222,-2222,svg,44
2026/08/31,0156,3,s9,0,1207,-12978,1207,svg,33
2026/08/31,0157,4,s9,0,0,-2133,-2133,svg,40
2026/08/31,0158,5,s9,0,0,-978,-978,svg,32
2026/08/31,0159,6,s9,0,0,-6133,-6133,svg,31
2026/08/31,1015,7,sl2,0,0,-124,-124,svg,27
2026/08/31,1016,8,sl2,0,0,-36,-36,svg,49
2026/08/31,1017,9,sl2,0,0,-338,-320,svg,63
2026/08/31,1018,1,sl2,0,0,-89,-89,svg,35
2026/08/31,1173,3,sl1,0,0,-3840,-3840,svg,40
2026/08/31,1174,4,sl1,0,298,-5329,-5329,svg,44
2026/08/31,1175,5,sl1,0,0,-960,-924,svg,32
2026/08/31,1176,6,sl1,0,0,-1440,-1351,svg,26
2026/08/31,1177,7,sl1,0,0,-2489,-2489,svg,31
2026/08/31,1178,8,sl1,0,0,-2027,-2027,svg,25
2026/08/31,1179,9,sl1,0,0,-3520,-2773,svg,40
2026/08/31,1180,1,sl1,0,5319,-433,4468,svg,32
