signal_date,next_date,group,machine,up_up_up,right,low_conv_right,all3,score,down_down_down,next_bullish,next_close,next_high,next_low,ge3000,ge5000,ge10000,ge15000,ge20000,next_close_rank,top1,top2,top3
2026-06-28,2026-06-29,g6,060,0,0,0,0,0,0,1,2007.0,9480.0,-3164.0,False,False,False,False,False,3,False,False,True
2026-07-02,2026-07-03,g6,060,0,1,1,0,2,0,1,35128.0,36154.0,-260.0,True,True,True,True,True,1,True,True,True
2026-07-12,2026-07-13,g6,060,1,1,1,1,3,0,1,3451.0,3805.0,-7854.0,True,False,False,False,False,3,False,False,True
2026-07-26,2026-07-27,g6,060,0,0,0,0,0,0,0,-11378.0,3621.0,-11378.0,False,False,False,False,False,3,False,False,True
2026-08-03,2026-08-04,g6,060,0,0,0,0,0,0,1,11379.0,14655.0,-3200.0,True,True,True,False,False,1,True,True,True
2026-08-09,2026-08-10,g6,060,0,0,0,0,0,0,0,-13689.0,0.0,-13689.0,False,False,False,False,False,4,False,False,False
2026-08-17,2026-08-18,g6,060,0,1,1,0,2,0,1,3275.0,6419.0,-3640.0,True,False,False,False,False,4,False,False,False
2026-06-28,2026-06-29,g6,069,1,1,1,1,3,0,1,8848.0,13606.0,-2486.0,True,True,False,False,False,2,False,True,True
2026-07-02,2026-07-03,g6,069,0,0,0,0,0,0,1,8621.0,12414.0,-1422.0,True,True,False,False,False,4,False,False,False
2026-07-12,2026-07-13,g6,069,0,0,0,0,0,0,0,-18082.0,2655.0,-18082.0,False,False,False,False,False,4,False,False,False
2026-07-26,2026-07-27,g6,069,1,0,0,0,1,0,1,5517.0,8103.0,-444.0,True,True,False,False,False,2,False,True,True
2026-08-03,2026-08-04,g6,069,1,1,1,1,3,0,0,-6756.0,10517.0,-6756.0,False,False,False,False,False,3,False,False,True
2026-08-09,2026-08-10,g6,069,0,0,0,0,0,0,0,-9956.0,0.0,-17422.0,False,False,False,False,False,3,False,False,True
2026-08-17,2026-08-18,g6,069,0,0,0,0,0,0,1,11965.0,16157.0,-351.0,True,True,True,False,False,3,False,False,True
2026-07-01,2026-07-02,g7,043,1,1,1,1,3,0,1,21322.0,25785.0,-2298.0,True,True,True,True,True,1,True,True,True
2026-07-17,2026-07-18,g7,043,1,1,1,1,3,0,0,-4622.0,10862.0,-4622.0,False,False,False,False,False,2,False,True,True
