signal_date,target_date,group,group_signal_rank,group_signal_score,direction_balance,ALL_3_count,ALL_3_machines,single_ALL3_in_strong_group,candidate_machine,evaluation_status,actual_bullish_count,actual_bullish_rate,actual_close_mean,actual_close_median,actual_high_mean,actual_low_mean,actual_close_ge_5000_count,actual_close_ge_10000_count,actual_close_ge_15000_count,actual_close_ge_20000_count,candidate_actual_bullish,candidate_actual_open,candidate_actual_high,candidate_actual_low,candidate_actual_close,candidate_group_close_rank,candidate_group_top2,candidate_group_top3,candidate_group_max_close_diff,strong_group_count
2026-08-28,2026-08-29,g1,1,1.25,2,1,046,True,046,evaluated,2,0.5,-514.0,-840.5,5000.0,-9244.25,1,1,0,0,False,0,0,-13511,-4267,3,False,True,16336,
2026-08-29,2026-08-30,g2,1,1.25,1,1,056,True,056,evaluated,1,0.25,1104.25,-8133.5,10348.25,-10763.75,1,1,1,1,True,0,38462,-5455,38462,1,True,True,0,
2026-08-30,2026-08-31,g3,1,1.0,1,1,057,True,057,evaluated,1,0.2,-14922.0,-17778.0,1140.2,-17117.8,0,0,0,0,True,0,2931,-9600,1379,1,True,True,0,
2026-08-31,2026-09-01,,,,,,,,,evaluated,0,,,,,,0,0,0,0,,,,,,,,,,0
2026-09-01,2026-09-02,,,,,,,,,evaluated,0,,,,,,0,0,0,0,,,,,,,,,,0
2026-09-02,2026-09-03,,,,,,,,,pending,,,,,,,,,,,,,,,,,,,,0
