signal_date,next_date,group,machine_count,group_signal_total,group_signal_score,any_signal_machine_count,all3_machine_count,up_up_up_count,right_count,low_convergence_right_count,no_signal_machine_count,signal_machine_ratio,all3_machine_ratio,down_down_down_count,next_bullish_count,next_bullish_rate,next_close_mean,next_close_median,next_close_sum,next_high_mean,next_low_mean,next_max_close,next_max_high,next_min_low,next_any_close_gt_3000,next_any_close_gt_5000,next_any_close_gt_10000,next_any_close_gt_15000,next_any_close_gt_20000,next_any_close_gt_3000_machine_count,next_any_close_gt_5000_machine_count,next_any_close_gt_10000_machine_count,evaluated,rank
2026-06-27,2026-06-28,g1,4,1,0.25,1,0,1,0,0,3,0.25,0.0,0,3,0.75,5122.25,8178.5,20489.0,10557.75,-3465.25,12268.0,16729.0,-10697.0,True,True,True,False,False,3,3,2,True,9
2026-06-27,2026-06-28,g2,4,5,1.25,2,1,1,2,2,2,0.5,0.25,0,2,0.5,6162.25,5259.5,24649.0,16001.75,-2958.0,17143.0,22929.0,-6328.0,True,True,True,True,False,2,2,2,True,2
2026-06-27,2026-06-28,g3,5,2,0.4,2,0,1,1,0,3,0.4,0.0,0,2,0.4,4347.6,-3691.0,21738.0,12731.0,-8146.0,28929.0,29143.0,-14463.0,True,True,True,True,True,2,2,2,True,7
2026-06-27,2026-06-28,g4,5,6,1.2,3,0,0,3,3,2,0.6,0.0,0,2,0.4,4664.0,-7684.0,23320.0,13687.4,-7715.6,32981.0,33426.0,-16347.0,True,True,True,True,True,2,2,2,True,4
2026-06-27,2026-06-28,g5,5,2,0.4,1,0,0,1,1,4,0.2,0.0,0,2,0.4,-2915.8,-8211.0,-14579.0,11603.4,-15274.0,30418.0,33649.0,-39438.0,True,True,True,True,True,2,2,2,True,8
2026-06-27,2026-06-28,g6,4,2,0.5,1,0,0,1,1,3,0.25,0.0,1,1,0.25,-7683.5,-9416.0,-30734.0,2069.0,-15548.5,1636.0,7955.0,-23285.0,False,False,False,False,False,0,0,0,True,5
2026-06-27,2026-06-28,g7,4,5,1.25,2,1,1,2,2,2,0.5,0.25,1,2,0.5,3754.75,1758.5,15019.0,9294.5,-7002.0,17679.0,25393.0,-16045.0,True,True,True,True,False,2,1,1,True,3
2026-06-27,2026-06-28,g8,4,2,0.5,1,0,0,1,1,3,0.25,0.0,1,1,0.25,-2200.5,-4859.0,-8802.0,4860.5,-6572.5,7658.0,14498.0,-9529.0,True,True,False,False,False,1,1,0,True,6
2026-06-27,2026-06-28,g9,4,6,1.5,3,0,0,3,3,1,0.75,0.0,0,3,0.75,4226.5,3327.0,16906.0,9879.0,-2165.5,10855.0,15390.0,-4896.0,True,True,True,False,False,2,1,1,True,1
2026-06-28,2026-06-29,g1,4,10,2.5,4,2,3,4,3,0,1.0,0.5,0,3,0.75,9539.25,5873.5,38157.0,13431.0,-2560.25,31532.0,32758.0,-5122.0,True,True,True,True,True,2,2,1,True,1
2026-06-28,2026-06-29,g2,4,0,0.0,0,0,0,0,0,4,0.0,0.0,0,1,0.25,-1884.0,-4595.5,-7536.0,4712.0,-8992.25,11599.0,14944.0,-13710.0,True,True,True,False,False,1,1,1,True,7
2026-06-28,2026-06-29,g3,5,0,0.0,0,0,0,0,0,5,0.0,0.0,0,3,0.6,3826.8,7955.0,19134.0,9680.0,-5371.0,12639.0,17100.0,-10471.0,True,True,True,False,False,3,3,2,True,8
2026-06-28,2026-06-29,g4,5,4,0.8,2,1,1,2,1,3,0.4,0.2,1,2,0.4,6117.8,-2185.0,30589.0,13597.8,-8353.2,34429.0,38329.0,-19435.0,True,True,True,True,True,2,2,2,True,4
2026-06-28,2026-06-29,g5,5,7,1.4,3,1,1,3,3,2,0.6,0.2,1,2,0.4,-5129.8,-9567.0,-25649.0,6025.6,-10537.6,15321.0,21429.0,-19058.0,True,True,True,True,False,1,1,1,True,3
2026-06-28,2026-06-29,g6,4,8,2.0,3,2,2,3,3,1,0.75,0.5,0,3,0.75,1256.75,5427.5,5027.0,10941.25,-7396.25,18107.0,20679.0,-23935.0,True,True,True,True,False,2,2,1,True,2
2026-06-28,2026-06-29,g7,4,0,0.0,0,0,0,0,0,4,0.0,0.0,2,2,0.5,-966.5,-474.0,-3866.0,6050.25,-8239.0,9888.0,12788.0,-12806.0,True,True,False,False,False,2,2,0,True,9
2026-06-28,2026-06-29,g8,4,3,0.75,1,1,1,1,1,3,0.25,0.25,1,0,0.0,-8361.75,-9058.5,-33447.0,0.0,-10179.0,-3955.0,0.0,-13032.0,False,False,False,False,False,0,0,0,True,5
