order,time,machine,group,source
1,10:07,0061,g7,PSCUBE history CSV status=初当り
2,10:13,0047,g2,PSCUBE history CSV status=初当り
3,10:14,0048,g3,PSCUBE history CSV status=初当り
4,10:19,0052,g7,PSCUBE history CSV status=初当り
5,10:33,0070,g7,PSCUBE history CSV status=初当り
6,10:36,0055,g1,PSCUBE history CSV status=初当り
7,10:36,0059,g5,PSCUBE history CSV status=初当り
8,10:43,0062,g8,PSCUBE history CSV status=初当り
9,10:49,0042,g6,PSCUBE history CSV status=初当り
10,10:52,0045,g9,PSCUBE history CSV status=初当り
11,10:55,0072,g9,PSCUBE history CSV status=初当り
12,10:57,0066,g3,PSCUBE history CSV status=初当り
13,10:58,0058,g4,PSCUBE history CSV status=初当り
14,11:00,0053,g8,PSCUBE history CSV status=初当り
15,11:15,0068,g5,PSCUBE history CSV status=初当り
16,11:21,0073,g1,PSCUBE history CSV status=初当り
17,11:23,0049,g4,PSCUBE history CSV status=初当り
18,11:31,0057,g3,PSCUBE history CSV status=初当り
19,11:38,0044,g8,PSCUBE history CSV status=初当り
20,11:40,0075,g3,PSCUBE history CSV status=初当り
21,11:46,0050,g5,PSCUBE history CSV status=初当り
22,11:47,0060,g6,PSCUBE history CSV status=初当り
23,11:58,0065,g2,PSCUBE history CSV status=初当り
24,12:00,0040,g4,PSCUBE history CSV status=初当り
25,12:11,0063,g9,PSCUBE history CSV status=初当り
26,12:31,0039,g3,PSCUBE history CSV status=初当り
27,12:38,0046,g1,PSCUBE history CSV status=初当り
28,12:47,0043,g7,PSCUBE history CSV status=初当り
29,12:54,0041,g5,PSCUBE history CSV status=初当り
30,13:01,0076,g4,PSCUBE history CSV status=初当り
31,13:05,0069,g6,PSCUBE history CSV status=初当り
32,13:39,0074,g2,PSCUBE history CSV status=初当り
33,13:41,0054,g9,PSCUBE history CSV status=初当り
34,14:23,0077,g5,PSCUBE history CSV status=初当り
35,14:25,0067,g4,PSCUBE history CSV status=初当り
36,14:49,0071,g8,PSCUBE history CSV status=初当り
37,14:57,0064,g1,PSCUBE history CSV status=初当り
38,16:01,0051,g6,PSCUBE history CSV status=初当り
39,17:12,0056,g2,PSCUBE history CSV status=初当り
