group,wavelab_rank,morning_rank,activity_start_rank,peak_activity_rank,peak_delta_rank,final_rank
g1,9,4,4,2,2,4
g2,3,2,2,3,7,9
g3,7,3,3,1,1,1
g4,8,9,9,5,5,5
g5,2,5,5,6,8,3
g6,4,7,7,4,6,6
g7,5,1,1,8,3,2
g8,6,6,6,9,9,7
g9,1,8,8,7,4,8
