group,machine_count,machines,initial_count,continuation_count,total_hit_count,continuation_per_initial,final_group_close
g1,4,"046,055,064,073",24,63,87,2.625,38000
g2,4,"047,056,065,074",20,36,56,1.8,-36957
g3,5,"039,048,057,066,075",30,94,124,3.1333,51098
g4,5,"040,049,058,067,076",29,81,110,2.7931,21426
g5,5,"041,050,059,068,077",23,79,102,3.4348,38206
g6,4,"042,051,060,069",28,48,76,1.7143,-10773
g7,4,"043,052,061,070",33,67,100,2.0303,45236
g8,4,"044,053,062,071",18,42,60,2.3333,-13499
g9,4,"045,054,063,072",19,48,67,2.5263,-18980
