machine,group,initial_count,continuation_count,total_hit_count,continuation_per_initial,high,low,close
0039,g3,5,14,19,2.8,8707,-9778,-7733
0040,g4,11,18,29,1.6364,12397,-11404,12066
0041,g5,3,23,26,7.6667,19138,-4622,17069
0042,g6,11,27,38,2.4545,33846,-2078,31538
0043,g7,6,15,21,2.5,13448,-2667,7586
0044,g8,5,10,15,2.0,3448,-17422,-9244
0045,g9,4,2,6,0.5,0,-25021,-25021
0046,g1,4,11,15,2.75,6379,-4800,-1156
0047,g2,6,12,18,2.0,345,-15111,-7289
0048,g3,5,24,29,4.8,21074,0,21074
0049,g4,2,3,5,1.5,0,-17422,-17422
0050,g5,6,15,21,2.5,15172,-889,14483
0051,g6,2,3,5,1.5,0,-18489,-18489
0052,g7,7,13,20,1.8571,3190,-4533,259
0053,g8,5,9,14,1.8,0,-16711,-6044
0054,g9,5,14,19,2.8,7241,-3111,6121
0055,g1,6,22,28,3.6667,27273,-766,19587
0056,g2,2,1,3,0.5,0,-32987,-30649
0057,g3,6,31,37,5.1667,36154,-3636,30769
0058,g4,4,21,25,5.25,20083,-255,10413
0059,g5,4,12,16,3.0,5172,-12444,-5156
0060,g6,8,7,15,0.875,0,-18311,-18311
0061,g7,12,23,35,1.9167,27769,0,26529
0062,g8,5,10,15,2.0,11207,-3556,-3556
0063,g9,6,21,27,3.5,10172,-7467,8276
0064,g1,6,9,15,1.5,3362,-6133,2672
0065,g2,7,9,16,1.2857,0,-11022,-4622
0066,g3,7,16,23,2.2857,10690,-3911,9655
0067,g4,5,4,9,0.8,0,-16889,-14400
0068,g5,7,16,23,2.2857,10517,-6222,7069
0069,g6,7,11,18,1.5714,0,-15289,-5511
0070,g7,8,16,24,2.0,12414,-356,10862
0071,g8,3,13,16,4.3333,10690,-9067,5345
0072,g9,4,11,15,2.75,6207,-16889,-8356
0073,g1,8,21,29,2.625,19483,-3733,16897
0074,g2,5,14,19,2.8,8103,-9956,5603
0075,g3,7,9,16,1.2857,4397,-5778,-2667
0076,g4,7,35,42,5.0,32564,-9610,30769
0077,g5,3,13,16,4.3333,8448,-7911,4741
