group,machines,machine_count,initial_hit_count,unique_machines_with_initial_hit,09-12_initial_hit_count,12-15_initial_hit_count,15-18_initial_hit_count,18-close_initial_hit_count,final_total
g1,"046,055,064,073",4,24,4,4,7,7,6,38000
g2,"047,056,065,074",4,20,4,2,5,9,4,-36957
g3,"039,048,057,066,075",5,30,5,6,11,8,5,51098
g4,"040,049,058,067,076",5,29,5,2,8,12,7,21426
g5,"041,050,059,068,077",5,23,5,3,7,7,6,38206
g6,"042,051,060,069",4,28,4,2,12,11,3,-10773
g7,"043,052,061,070",4,33,4,7,9,12,5,45236
g8,"044,053,062,071",4,18,4,4,5,5,4,-13499
g9,"045,054,063,072",4,19,4,3,7,4,5,-18980
