group,time_bin,start_time,end_time,initial_count,continuation_count,total_hit_count,continuation_per_initial
g1,09-12,09:00,12:00,4,4,8,1.0
g1,12-15,12:00,15:00,7,38,45,5.4286
g1,15-18,15:00,18:00,7,13,20,1.8571
g1,18-close,18:00,24:00,6,8,14,1.3333
g2,09-12,09:00,12:00,2,0,2,0.0
g2,12-15,12:00,15:00,5,7,12,1.4
g2,15-18,15:00,18:00,9,19,28,2.1111
g2,18-close,18:00,24:00,4,10,14,2.5
g3,09-12,09:00,12:00,6,15,21,2.5
g3,12-15,12:00,15:00,11,34,45,3.0909
g3,15-18,15:00,18:00,8,33,41,4.125
g3,18-close,18:00,24:00,5,12,17,2.4
g4,09-12,09:00,12:00,2,15,17,7.5
g4,12-15,12:00,15:00,8,13,21,1.625
g4,15-18,15:00,18:00,12,16,28,1.3333
g4,18-close,18:00,24:00,7,37,44,5.2857
g5,09-12,09:00,12:00,3,11,14,3.6667
g5,12-15,12:00,15:00,7,17,24,2.4286
g5,15-18,15:00,18:00,7,43,50,6.1429
g5,18-close,18:00,24:00,6,8,14,1.3333
g6,09-12,09:00,12:00,2,5,7,2.5
g6,12-15,12:00,15:00,12,12,24,1.0
g6,15-18,15:00,18:00,11,16,27,1.4545
g6,18-close,18:00,24:00,3,15,18,5.0
g7,09-12,09:00,12:00,7,14,21,2.0
g7,12-15,12:00,15:00,9,15,24,1.6667
g7,15-18,15:00,18:00,12,29,41,2.4167
g7,18-close,18:00,24:00,5,9,14,1.8
g8,09-12,09:00,12:00,4,4,8,1.0
g8,12-15,12:00,15:00,5,10,15,2.0
g8,15-18,15:00,18:00,5,15,20,3.0
g8,18-close,18:00,24:00,4,13,17,3.25
g9,09-12,09:00,12:00,3,6,9,2.0
g9,12-15,12:00,15:00,7,13,20,1.8571
g9,15-18,15:00,18:00,4,11,15,2.75
g9,18-close,18:00,24:00,5,18,23,3.6
