group,previous_wavelab_rank,previous_wavelab_score,previous_strong_group,morning_first_hit_time,morning_first_hit_machine,morning_first_hit_rank,activity_start_time,activity_start_rank,activity_start_initial,activity_start_continuation,activity_start_total,peak_initial_count,peak_continuation_count,peak_total_activity,peak_activity_rank,peak_group_delta,peak_delta_rank,final_close,final_rank
g1,9,0,False,10:36,0055,4,10:35,4,1,0,1,3,3,6,2,4509,2,38000,4
g2,3,0.5,False,10:13,0047,2,10:10,2,1,0,1,1,4,5,3,-2975,7,-36957,9
g3,7,0.4,False,10:14,0048,3,10:10,3,1,0,1,2,10,12,1,11712,1,51098,1
g4,8,0.2,False,10:58,0058,9,10:55,9,1,0,1,3,1,4,5,718,5,21426,5
g5,2,0.6,False,10:36,0059,5,10:35,5,1,1,2,0,4,4,6,-4852,8,38206,3
g6,4,0.5,False,10:49,0042,7,10:45,7,1,0,1,2,3,5,4,-1464,6,-10773,6
g7,5,0.5,False,10:07,0061,1,10:05,1,1,0,1,0,3,3,8,3253,3,45236,2
g8,6,0.5,False,10:43,0062,6,10:40,6,1,0,1,2,1,3,9,-6474,9,-13499,7
g9,1,1,False,10:52,0045,8,10:50,8,1,0,1,0,4,4,7,1491,4,-18980,8
