order,time,machine,group,source
1,10:08,0040,g4,PSCUBE history CSV status=初当り
2,10:28,0039,g3,PSCUBE history CSV status=初当り
3,10:28,0067,g4,PSCUBE history CSV status=初当り
4,10:34,0041,g5,PSCUBE history CSV status=初当り
5,10:37,0063,g9,PSCUBE history CSV status=初当り
6,10:37,0068,g5,PSCUBE history CSV status=初当り
7,10:47,0051,g6,PSCUBE history CSV status=初当り
8,11:11,0054,g9,PSCUBE history CSV status=初当り
9,11:20,0072,g9,PSCUBE history CSV status=初当り
10,11:29,0053,g8,PSCUBE history CSV status=初当り
11,11:30,0045,g9,PSCUBE history CSV status=初当り
12,11:38,0043,g7,PSCUBE history CSV status=初当り
13,12:04,0064,g1,PSCUBE history CSV status=初当り
14,12:13,0047,g2,PSCUBE history CSV status=初当り
15,12:13,0065,g2,PSCUBE history CSV status=初当り
16,12:14,0056,g2,PSCUBE history CSV status=初当り
17,12:17,0073,g1,PSCUBE history CSV status=初当り
18,12:31,0058,g4,PSCUBE history CSV status=初当り
19,12:32,0061,g7,PSCUBE history CSV status=初当り
20,12:51,0055,g1,PSCUBE history CSV status=初当り
21,13:07,0057,g3,PSCUBE history CSV status=初当り
22,13:07,0060,g6,PSCUBE history CSV status=初当り
23,13:12,0048,g3,PSCUBE history CSV status=初当り
24,13:12,0071,g8,PSCUBE history CSV status=初当り
25,13:13,0069,g6,PSCUBE history CSV status=初当り
26,13:17,0074,g2,PSCUBE history CSV status=初当り
27,13:18,0075,g3,PSCUBE history CSV status=初当り
28,13:21,0049,g4,PSCUBE history CSV status=初当り
29,13:42,0062,g8,PSCUBE history CSV status=初当り
30,13:52,0066,g3,PSCUBE history CSV status=初当り
31,13:54,0052,g7,PSCUBE history CSV status=初当り
32,14:19,0050,g5,PSCUBE history CSV status=初当り
33,14:24,0046,g1,PSCUBE history CSV status=初当り
34,14:34,0077,g5,PSCUBE history CSV status=初当り
35,14:43,0044,g8,PSCUBE history CSV status=初当り
36,15:01,0070,g7,PSCUBE history CSV status=初当り
37,15:10,0042,g6,PSCUBE history CSV status=初当り
38,15:41,0059,g5,PSCUBE history CSV status=初当り
39,16:26,0076,g4,PSCUBE history CSV status=初当り
