group,machines,machine_count,initial_hit_count,unique_machines_with_initial_hit,09-12_initial_hit_count,12-15_initial_hit_count,15-18_initial_hit_count,18-close_initial_hit_count,final_total
g1,"046,055,064,073",4,10,4,0,5,5,0,18364
g2,"047,056,065,074",4,19,4,0,8,8,3,-6106
g3,"039,048,057,066,075",5,21,5,1,8,9,3,27929
g4,"040,049,058,067,076",5,19,5,4,6,5,4,15046
g5,"041,050,059,068,077",5,20,5,3,5,4,8,-46786
g6,"042,051,060,069",4,16,4,1,7,3,5,-38980
g7,"043,052,061,070",4,15,4,1,3,9,2,28098
g8,"044,053,062,071",4,17,4,2,8,5,2,-19122
g9,"045,054,063,072",4,22,4,4,7,4,7,55143
