machine,group,first_hit_time,first_hit_order,source
0039,g3,10:28,2,PSCUBE history CSV status=初当り
0040,g4,10:08,1,PSCUBE history CSV status=初当り
0041,g5,10:34,4,PSCUBE history CSV status=初当り
0042,g6,15:10,37,PSCUBE history CSV status=初当り
0043,g7,11:38,12,PSCUBE history CSV status=初当り
0044,g8,14:43,35,PSCUBE history CSV status=初当り
0045,g9,11:30,11,PSCUBE history CSV status=初当り
0046,g1,14:24,33,PSCUBE history CSV status=初当り
0047,g2,12:13,14,PSCUBE history CSV status=初当り
0048,g3,13:12,23,PSCUBE history CSV status=初当り
0049,g4,13:21,28,PSCUBE history CSV status=初当り
0050,g5,14:19,32,PSCUBE history CSV status=初当り
0051,g6,10:47,7,PSCUBE history CSV status=初当り
0052,g7,13:54,31,PSCUBE history CSV status=初当り
0053,g8,11:29,10,PSCUBE history CSV status=初当り
0054,g9,11:11,8,PSCUBE history CSV status=初当り
0055,g1,12:51,20,PSCUBE history CSV status=初当り
0056,g2,12:14,16,PSCUBE history CSV status=初当り
0057,g3,13:07,21,PSCUBE history CSV status=初当り
0058,g4,12:31,18,PSCUBE history CSV status=初当り
0059,g5,15:41,38,PSCUBE history CSV status=初当り
0060,g6,13:07,22,PSCUBE history CSV status=初当り
0061,g7,12:32,19,PSCUBE history CSV status=初当り
0062,g8,13:42,29,PSCUBE history CSV status=初当り
0063,g9,10:37,5,PSCUBE history CSV status=初当り
0064,g1,12:04,13,PSCUBE history CSV status=初当り
0065,g2,12:13,15,PSCUBE history CSV status=初当り
0066,g3,13:52,30,PSCUBE history CSV status=初当り
0067,g4,10:28,3,PSCUBE history CSV status=初当り
0068,g5,10:37,6,PSCUBE history CSV status=初当り
0069,g6,13:13,25,PSCUBE history CSV status=初当り
0070,g7,15:01,36,PSCUBE history CSV status=初当り
0071,g8,13:12,24,PSCUBE history CSV status=初当り
0072,g9,11:20,9,PSCUBE history CSV status=初当り
0073,g1,12:17,17,PSCUBE history CSV status=初当り
0074,g2,13:17,26,PSCUBE history CSV status=初当り
0075,g3,13:18,27,PSCUBE history CSV status=初当り
0076,g4,16:26,39,PSCUBE history CSV status=初当り
0077,g5,14:34,34,PSCUBE history CSV status=初当り
