machine,group,initial_count,continuation_count,total_hit_count,continuation_per_initial,high,low,close
0039,g3,6,13,19,2.1667,8017,-3378,3103
0040,g4,6,11,17,1.8333,7586,-1422,-89
0041,g5,6,5,11,0.8333,0,-12444,-8533
0042,g6,3,8,11,2.6667,517,-11200,-3911
0043,g7,5,29,34,5.8,34103,-779,32821
0044,g8,4,0,4,0.0,0,-12978,-12978
0045,g9,7,18,25,2.5714,20331,-2809,15124
0046,g1,2,5,7,2.5,3448,-6133,-6133
0047,g2,8,16,24,2.0,10517,-6578,10000
0048,g3,3,7,10,2.3333,8707,-4622,-4622
0049,g4,4,10,14,2.5,6983,-2400,3793
0050,g5,2,0,2,0.0,0,-20267,-20267
0051,g6,4,5,9,1.25,3707,-9244,-9244
0052,g7,5,11,16,2.2,10345,-2489,4138
0053,g8,5,14,19,2.8,13966,-5689,-1422
0054,g9,4,17,21,4.25,11552,-1067,7414
0055,g1,1,22,23,22.0,30256,-260,29231
0056,g2,4,16,20,4.0,13966,-2311,9138
0057,g3,3,11,14,3.6667,7414,-2044,603
0058,g4,2,11,13,5.5,6724,-11378,-4089
0059,g5,3,9,12,3.0,0,-16178,-16178
0060,g6,3,2,5,0.6667,0,-5156,-4889
0061,g7,3,10,13,3.3333,5259,-6756,1983
0062,g8,3,9,12,3.0,2931,-8356,345
0063,g9,5,11,16,2.2,9741,-5600,-5600
0064,g1,3,0,3,0.0,0,-14044,-14044
0065,g2,3,6,9,2.0,1552,-12622,-12622
0066,g3,4,34,38,8.5,37179,-8831,36667
0067,g4,6,17,23,2.8333,16379,-2133,13448
0068,g5,6,19,25,3.1667,17759,0,12414
0069,g6,6,5,11,0.8333,0,-27830,-20936
0070,g7,2,0,2,0.0,0,-10844,-10844
0071,g8,5,10,15,2.0,3534,-7289,-5067
0072,g9,6,31,37,5.1667,38974,-5195,38205
0073,g1,4,15,19,3.75,15000,-4444,9310
0074,g2,4,10,14,2.5,862,-12622,-12622
0075,g3,5,8,13,1.6,517,-11556,-7822
0076,g4,1,5,6,5.0,3534,-4533,1983
0077,g5,3,5,8,1.6667,0,-20089,-14222
