group,machine_count,machines,initial_count,continuation_count,total_hit_count,continuation_per_initial,final_group_close
g1,4,"046,055,064,073",10,42,52,4.2,18364
g2,4,"047,056,065,074",19,48,67,2.5263,-6106
g3,5,"039,048,057,066,075",21,73,94,3.4762,27929
g4,5,"040,049,058,067,076",19,54,73,2.8421,15046
g5,5,"041,050,059,068,077",20,38,58,1.9,-46786
g6,4,"042,051,060,069",16,20,36,1.25,-38980
g7,4,"043,052,061,070",15,50,65,3.3333,28098
g8,4,"044,053,062,071",17,33,50,1.9412,-19122
g9,4,"045,054,063,072",22,77,99,3.5,55143
