group,time_bin,start_time,end_time,initial_count,continuation_count,total_hit_count,continuation_per_initial
g1,09-12,09:00,12:00,0,0,0,
g1,12-15,12:00,15:00,5,26,31,5.2
g1,15-18,15:00,18:00,5,16,21,3.2
g1,18-close,18:00,24:00,0,0,0,
g2,09-12,09:00,12:00,0,0,0,
g2,12-15,12:00,15:00,8,21,29,2.625
g2,15-18,15:00,18:00,8,23,31,2.875
g2,18-close,18:00,24:00,3,4,7,1.3333
g3,09-12,09:00,12:00,1,2,3,2.0
g3,12-15,12:00,15:00,8,23,31,2.875
g3,15-18,15:00,18:00,9,27,36,3.0
g3,18-close,18:00,24:00,3,21,24,7.0
g4,09-12,09:00,12:00,4,6,10,1.5
g4,12-15,12:00,15:00,6,17,23,2.8333
g4,15-18,15:00,18:00,5,19,24,3.8
g4,18-close,18:00,24:00,4,12,16,3.0
g5,09-12,09:00,12:00,3,4,7,1.3333
g5,12-15,12:00,15:00,5,14,19,2.8
g5,15-18,15:00,18:00,4,7,11,1.75
g5,18-close,18:00,24:00,8,13,21,1.625
g6,09-12,09:00,12:00,1,0,1,0.0
g6,12-15,12:00,15:00,7,8,15,1.1429
g6,15-18,15:00,18:00,3,3,6,1.0
g6,18-close,18:00,24:00,5,9,14,1.8
g7,09-12,09:00,12:00,1,4,5,4.0
g7,12-15,12:00,15:00,3,8,11,2.6667
g7,15-18,15:00,18:00,9,35,44,3.8889
g7,18-close,18:00,24:00,2,3,5,1.5
g8,09-12,09:00,12:00,2,1,3,0.5
g8,12-15,12:00,15:00,8,15,23,1.875
g8,15-18,15:00,18:00,5,15,20,3.0
g8,18-close,18:00,24:00,2,2,4,1.0
g9,09-12,09:00,12:00,4,13,17,3.25
g9,12-15,12:00,15:00,7,26,33,3.7143
g9,15-18,15:00,18:00,4,23,27,5.75
g9,18-close,18:00,24:00,7,15,22,2.1429
