date,time,machine,group,event_type,source_status,source,confidence,hit_sequence_id,start_count
20260907,10:28,0039,g3,INITIAL,初当り,PSCUBE history CSV,source_status_exact,1,102
20260907,10:33,0039,g3,CONTINUATION,継続,PSCUBE history CSV,source_status_exact,2,38
20260907,10:38,0039,g3,CONTINUATION,継続,PSCUBE history CSV,source_status_exact,3,54
20260907,12:25,0039,g3,INITIAL,初当り,PSCUBE history CSV,source_status_exact,4,446
20260907,12:29,0039,g3,CONTINUATION,継続,PSCUBE history CSV,source_status_exact,5,22
20260907,12:32,0039,g3,CONTINUATION,継続,PSCUBE history CSV,source_status_exact,6,12
20260907,12:34,0039,g3,CONTINUATION,継続,PSCUBE history CSV,source_status_exact,7,1
20260907,12:52,0039,g3,CONTINUATION,継続,PSCUBE history CSV,source_status_exact,8,235
20260907,13:05,0039,g3,INITIAL,初当り,PSCUBE history CSV,source_status_exact,9,113
20260907,13:17,0039,g3,INITIAL,初当り,PSCUBE history CSV,source_status_exact,10,118
20260907,16:01,0039,g3,INITIAL,初当り,PSCUBE history CSV,source_status_exact,11,681
20260907,16:05,0039,g3,CONTINUATION,継続,PSCUBE history CSV,source_status_exact,12,30
20260907,16:09,0039,g3,CONTINUATION,継続,PSCUBE history CSV,source_status_exact,13,10
20260907,16:13,0039,g3,CONTINUATION,継続,PSCUBE history CSV,source_status_exact,14,46
20260907,16:17,0039,g3,CONTINUATION,継続,PSCUBE history CSV,source_status_exact,15,13
20260907,16:20,0039,g3,CONTINUATION,継続,PSCUBE history CSV,source_status_exact,16,7
20260907,16:43,0039,g3,INITIAL,初当り,PSCUBE history CSV,source_status_exact,17,172
20260907,16:52,0039,g3,CONTINUATION,継続,PSCUBE history CSV,source_status_exact,18,61
20260907,16:58,0039,g3,CONTINUATION,継続,PSCUBE history CSV,source_status_exact,19,59
20260907,10:08,0040,g4,INITIAL,初当り,PSCUBE history CSV,source_status_exact,1,3
20260907,10:12,0040,g4,CONTINUATION,継続,PSCUBE history CSV,source_status_exact,2,27
20260907,10:26,0040,g4,INITIAL,初当り,PSCUBE history CSV,source_status_exact,3,112
20260907,10:30,0040,g4,CONTINUATION,継続,PSCUBE history CSV,source_status_exact,4,31
20260907,10:34,0040,g4,CONTINUATION,継続,PSCUBE history CSV,source_status_exact,5,27
20260907,12:43,0040,g4,INITIAL,初当り,PSCUBE history CSV,source_status_exact,6,409
20260907,12:48,0040,g4,CONTINUATION,継続,PSCUBE history CSV,source_status_exact,7,47
