group,wavelab_rank,morning_rank,activity_start_rank,peak_activity_rank,peak_delta_rank,final_rank
g1,4,8,8,9,2,4
g2,1,9,9,1,8,6
g3,8,2,2,6,4,3
g4,2,1,1,3,7,5
g5,3,3,3,5,1,9
g6,9,5,5,4,9,8
g7,5,7,7,8,6,2
g8,6,6,6,7,5,7
g9,7,4,4,2,3,1
