machine,group,initial_count,continuation_count,total_hit_count,continuation_per_initial,high,low,close
0039,g3,2,5,7,2.5,431,-7022,-3644
0040,g4,3,3,6,1.0,3448,-11200,-11200
0041,g5,1,0,1,0.0,0,-13511,-12622
0042,g6,2,5,7,2.5,172,-9067,-4711
0043,g7,5,6,11,1.2,8017,-89,7328
0044,g8,5,6,11,1.2,6293,-4267,-356
0045,g9,0,0,0,,0,-356,-356
0046,g1,8,21,29,2.625,21570,-511,21570
0047,g2,4,7,11,1.75,0,-10489,-7467
0048,g3,5,5,10,1.0,2069,-13867,-13867
0049,g4,0,0,0,,0,-2756,-2756
0050,g5,7,14,21,2.0,4828,-16356,-3556
0051,g6,1,0,1,0.0,0,-13867,-13867
0052,g7,0,0,0,,0,-5956,-5956
0053,g8,4,9,13,2.25,4914,-10044,2414
0054,g9,3,11,14,3.6667,5862,-10844,5000
0055,g1,3,21,24,7.0,21322,-7660,21322
0056,g2,4,8,12,2.0,4224,-2489,2931
0057,g3,3,12,15,4.0,12931,-2489,4483
0058,g4,6,13,19,2.1667,12069,-2311,9655
0059,g5,0,0,0,,0,-7644,-7644
0060,g6,0,0,0,,0,-8889,-8889
0061,g7,6,38,44,6.3333,48958,-1579,48698
0062,g8,1,3,4,3.0,345,-4711,-3556
0063,g9,4,12,16,3.0,6207,-5600,948
0064,g1,2,6,8,3.0,0,-13867,-7467
0065,g2,2,6,8,3.0,6552,-3733,6379
0066,g3,3,17,20,5.6667,8966,-7556,8707
0067,g4,4,7,11,1.75,2586,-4978,0
0068,g5,8,11,19,1.375,7672,-2311,4397
0069,g6,2,3,5,1.5,0,-5511,-5511
0070,g7,5,14,19,2.8,19483,-533,18448
0071,g8,1,7,8,7.0,6293,-4267,3793
0072,g9,6,19,25,3.1667,23554,-511,8678
0073,g1,4,8,12,2.0,5862,-1244,3707
0074,g2,12,14,26,1.1667,18966,0,4310
0075,g3,3,0,3,0.0,0,-6400,-5156
0076,g4,3,19,22,6.3333,13223,-12766,12231
0077,g5,2,2,4,1.0,0,-19911,-19911
