group,time_bin,start_time,end_time,initial_count,continuation_count,total_hit_count,continuation_per_initial
g1,09-12,09:00,12:00,3,8,11,2.6667
g1,12-15,12:00,15:00,5,14,19,2.8
g1,15-18,15:00,18:00,4,16,20,4.0
g1,18-close,18:00,24:00,5,18,23,3.6
g2,09-12,09:00,12:00,5,8,13,1.6
g2,12-15,12:00,15:00,4,10,14,2.5
g2,15-18,15:00,18:00,6,12,18,2.0
g2,18-close,18:00,24:00,7,5,12,0.7143
g3,09-12,09:00,12:00,3,4,7,1.3333
g3,12-15,12:00,15:00,7,12,19,1.7143
g3,15-18,15:00,18:00,4,19,23,4.75
g3,18-close,18:00,24:00,2,4,6,2.0
g4,09-12,09:00,12:00,0,0,0,
g4,12-15,12:00,15:00,6,15,21,2.5
g4,15-18,15:00,18:00,4,11,15,2.75
g4,18-close,18:00,24:00,6,16,22,2.6667
g5,09-12,09:00,12:00,3,4,7,1.3333
g5,12-15,12:00,15:00,3,7,10,2.3333
g5,15-18,15:00,18:00,5,3,8,0.6
g5,18-close,18:00,24:00,7,13,20,1.8571
g6,09-12,09:00,12:00,0,0,0,
g6,12-15,12:00,15:00,2,0,2,0.0
g6,15-18,15:00,18:00,2,8,10,4.0
g6,18-close,18:00,24:00,1,0,1,0.0
g7,09-12,09:00,12:00,0,0,0,
g7,12-15,12:00,15:00,5,21,26,4.2
g7,15-18,15:00,18:00,5,23,28,4.6
g7,18-close,18:00,24:00,6,14,20,2.3333
g8,09-12,09:00,12:00,1,0,1,0.0
g8,12-15,12:00,15:00,5,9,14,1.8
g8,15-18,15:00,18:00,4,12,16,3.0
g8,18-close,18:00,24:00,1,4,5,4.0
g9,09-12,09:00,12:00,3,9,12,3.0
g9,12-15,12:00,15:00,3,11,14,3.6667
g9,15-18,15:00,18:00,3,18,21,6.0
g9,18-close,18:00,24:00,4,4,8,1.0
