group,wavelab_rank,morning_rank,activity_start_rank,peak_activity_rank,peak_delta_rank,final_rank
g1,2,6,6,1,2,2
g2,3,1,1,3,7,5
g3,1,2,2,2,9,7
g4,5,8,8,8,3,4
g5,7,3,3,5,4,9
g6,8,9,9,6,8,8
g7,6,7,7,7,1,1
g8,9,4,4,9,5,6
g9,4,5,5,4,6,3
