order,time,machine,group,source
1,10:12,0074,g2,PSCUBE history CSV status=初当り
2,10:17,0048,g3,PSCUBE history CSV status=初当り
3,10:32,0050,g5,PSCUBE history CSV status=初当り
4,10:45,0044,g8,PSCUBE history CSV status=初当り
5,10:46,0063,g9,PSCUBE history CSV status=初当り
6,10:49,0068,g5,PSCUBE history CSV status=初当り
7,11:06,0046,g1,PSCUBE history CSV status=初当り
8,11:16,0072,g9,PSCUBE history CSV status=初当り
9,11:19,0073,g1,PSCUBE history CSV status=初当り
10,11:31,0057,g3,PSCUBE history CSV status=初当り
11,12:04,0056,g2,PSCUBE history CSV status=初当り
12,12:21,0061,g7,PSCUBE history CSV status=初当り
13,12:27,0067,g4,PSCUBE history CSV status=初当り
14,12:30,0058,g4,PSCUBE history CSV status=初当り
15,12:53,0047,g2,PSCUBE history CSV status=初当り
16,12:54,0042,g6,PSCUBE history CSV status=初当り
17,13:08,0062,g8,PSCUBE history CSV status=初当り
18,13:09,0066,g3,PSCUBE history CSV status=初当り
19,13:17,0040,g4,PSCUBE history CSV status=初当り
20,13:34,0064,g1,PSCUBE history CSV status=初当り
21,13:35,0055,g1,PSCUBE history CSV status=初当り
22,13:57,0070,g7,PSCUBE history CSV status=初当り
23,14:20,0075,g3,PSCUBE history CSV status=初当り
24,14:27,0053,g8,PSCUBE history CSV status=初当り
25,14:33,0077,g5,PSCUBE history CSV status=初当り
26,14:45,0051,g6,PSCUBE history CSV status=初当り
27,15:30,0076,g4,PSCUBE history CSV status=初当り
28,15:32,0039,g3,PSCUBE history CSV status=初当り
29,16:02,0065,g2,PSCUBE history CSV status=初当り
30,16:36,0054,g9,PSCUBE history CSV status=初当り
31,17:17,0043,g7,PSCUBE history CSV status=初当り
32,17:24,0069,g6,PSCUBE history CSV status=初当り
33,17:46,0071,g8,PSCUBE history CSV status=初当り
34,21:05,0041,g5,PSCUBE history CSV status=初当り
