machine,group,first_hit_time,first_hit_order,source
0039,g3,15:32,28,PSCUBE history CSV status=初当り
0040,g4,13:17,19,PSCUBE history CSV status=初当り
0041,g5,21:05,34,PSCUBE history CSV status=初当り
0042,g6,12:54,16,PSCUBE history CSV status=初当り
0043,g7,17:17,31,PSCUBE history CSV status=初当り
0044,g8,10:45,4,PSCUBE history CSV status=初当り
0045,g9,,,no qualifying history event
0046,g1,11:06,7,PSCUBE history CSV status=初当り
0047,g2,12:53,15,PSCUBE history CSV status=初当り
0048,g3,10:17,2,PSCUBE history CSV status=初当り
0049,g4,,,no qualifying history event
0050,g5,10:32,3,PSCUBE history CSV status=初当り
0051,g6,14:45,26,PSCUBE history CSV status=初当り
0052,g7,,,no qualifying history event
0053,g8,14:27,24,PSCUBE history CSV status=初当り
0054,g9,16:36,30,PSCUBE history CSV status=初当り
0055,g1,13:35,21,PSCUBE history CSV status=初当り
0056,g2,12:04,11,PSCUBE history CSV status=初当り
0057,g3,11:31,10,PSCUBE history CSV status=初当り
0058,g4,12:30,14,PSCUBE history CSV status=初当り
0059,g5,,,no qualifying history event
0060,g6,,,no qualifying history event
0061,g7,12:21,12,PSCUBE history CSV status=初当り
0062,g8,13:08,17,PSCUBE history CSV status=初当り
0063,g9,10:46,5,PSCUBE history CSV status=初当り
0064,g1,13:34,20,PSCUBE history CSV status=初当り
0065,g2,16:02,29,PSCUBE history CSV status=初当り
0066,g3,13:09,18,PSCUBE history CSV status=初当り
0067,g4,12:27,13,PSCUBE history CSV status=初当り
0068,g5,10:49,6,PSCUBE history CSV status=初当り
0069,g6,17:24,32,PSCUBE history CSV status=初当り
0070,g7,13:57,22,PSCUBE history CSV status=初当り
0071,g8,17:46,33,PSCUBE history CSV status=初当り
0072,g9,11:16,8,PSCUBE history CSV status=初当り
0073,g1,11:19,9,PSCUBE history CSV status=初当り
0074,g2,10:12,1,PSCUBE history CSV status=初当り
0075,g3,14:20,23,PSCUBE history CSV status=初当り
0076,g4,15:30,27,PSCUBE history CSV status=初当り
0077,g5,14:33,25,PSCUBE history CSV status=初当り
