group,previous_wavelab_rank,previous_wavelab_score,previous_strong_group,morning_first_hit_time,morning_first_hit_machine,morning_first_hit_rank,activity_start_time,activity_start_rank,activity_start_initial,activity_start_continuation,activity_start_total,peak_initial_count,peak_continuation_count,peak_total_activity,peak_activity_rank,peak_group_delta,peak_delta_rank,final_close,final_rank
g1,5,0.5,False,11:51,0073,5,11:50,5,1,1,2,1,1,2,5,-288,4,4995,4
g2,9,0,False,10:15,0065,1,10:15,1,1,1,2,2,14,16,1,3803,1,52413,1
g3,2,0.6,True,10:40,0057,3,10:40,3,1,1,2,1,2,3,3,-2311,6,-29150,8
g4,3,0.6,False,12:24,0049,7,12:20,7,1,0,1,1,0,1,6,-3189,7,-10637,6
g5,4,0.6,False,14:57,0050,9,14:55,9,1,0,1,1,3,4,2,-6131,9,-52685,9
g6,1,0.75,False,12:18,0051,6,12:15,6,1,0,1,0,0,0,7,-4533,8,-15073,7
g7,6,0.5,False,11:01,0070,4,11:00,4,1,0,1,2,1,3,4,-1967,5,-9078,5
g8,7,0.5,False,10:22,0062,2,10:20,2,1,0,1,0,0,0,8,793,2,18026,3
g9,8,0.25,False,13:00,0054,8,13:00,8,1,0,1,0,0,0,9,517,3,23233,2
