group,machines,machine_count,initial_hit_count,unique_machines_with_initial_hit,09-12_initial_hit_count,12-15_initial_hit_count,15-18_initial_hit_count,18-close_initial_hit_count,final_total
g1,"046,055,064,073",4,12,3,1,4,3,4,4995
g2,"047,056,065,074",4,21,4,1,8,8,4,52413
g3,"039,048,057,066,075",5,11,5,2,3,2,4,-29150
g4,"040,049,058,067,076",5,13,5,0,6,3,4,-10637
g5,"041,050,059,068,077",5,6,5,0,1,2,3,-52685
g6,"042,051,060,069",4,5,2,0,1,2,2,-15073
g7,"043,052,061,070",4,15,4,1,6,8,0,-9078
g8,"044,053,062,071",4,11,3,3,3,3,2,18026
g9,"045,054,063,072",4,8,3,0,3,3,2,23233
