group,wavelab_rank,morning_rank,activity_start_rank,peak_activity_rank,peak_delta_rank,final_rank
g1,5,5,5,5,4,4
g2,9,1,1,1,1,1
g3,2,3,3,3,6,8
g4,3,7,7,6,7,6
g5,4,9,9,2,9,9
g6,1,6,6,7,8,7
g7,6,4,4,4,5,5
g8,7,2,2,8,2,3
g9,8,8,8,9,3,2
