group,time_bin,start_time,end_time,initial_count,continuation_count,total_hit_count,continuation_per_initial
g1,09-12,09:00,12:00,1,3,4,3.0
g1,12-15,12:00,15:00,4,9,13,2.25
g1,15-18,15:00,18:00,3,6,9,2.0
g1,18-close,18:00,24:00,4,2,6,0.5
g2,09-12,09:00,12:00,1,4,5,4.0
g2,12-15,12:00,15:00,8,25,33,3.125
g2,15-18,15:00,18:00,8,18,26,2.25
g2,18-close,18:00,24:00,4,16,20,4.0
g3,09-12,09:00,12:00,2,2,4,1.0
g3,12-15,12:00,15:00,3,4,7,1.3333
g3,15-18,15:00,18:00,2,2,4,1.0
g3,18-close,18:00,24:00,4,16,20,4.0
g4,09-12,09:00,12:00,0,0,0,
g4,12-15,12:00,15:00,6,5,11,0.8333
g4,15-18,15:00,18:00,3,8,11,2.6667
g4,18-close,18:00,24:00,4,12,16,3.0
g5,09-12,09:00,12:00,0,0,0,
g5,12-15,12:00,15:00,1,0,1,0.0
g5,15-18,15:00,18:00,2,6,8,3.0
g5,18-close,18:00,24:00,3,9,12,3.0
g6,09-12,09:00,12:00,0,0,0,
g6,12-15,12:00,15:00,1,0,1,0.0
g6,15-18,15:00,18:00,2,9,11,4.5
g6,18-close,18:00,24:00,2,7,9,3.5
g7,09-12,09:00,12:00,1,3,4,3.0
g7,12-15,12:00,15:00,6,7,13,1.1667
g7,15-18,15:00,18:00,8,15,23,1.875
g7,18-close,18:00,24:00,0,0,0,
g8,09-12,09:00,12:00,3,8,11,2.6667
g8,12-15,12:00,15:00,3,8,11,2.6667
g8,15-18,15:00,18:00,3,16,19,5.3333
g8,18-close,18:00,24:00,2,5,7,2.5
g9,09-12,09:00,12:00,0,0,0,
g9,12-15,12:00,15:00,3,4,7,1.3333
g9,15-18,15:00,18:00,3,9,12,3.0
g9,18-close,18:00,24:00,2,21,23,10.5
