order,time,machine,group,source
1,10:15,0065,g2,PSCUBE history CSV status=初当り
2,10:22,0062,g8,PSCUBE history CSV status=初当り
3,10:40,0057,g3,PSCUBE history CSV status=初当り
4,11:01,0070,g7,PSCUBE history CSV status=初当り
5,11:46,0053,g8,PSCUBE history CSV status=初当り
6,11:47,0075,g3,PSCUBE history CSV status=初当り
7,11:51,0073,g1,PSCUBE history CSV status=初当り
8,12:18,0051,g6,PSCUBE history CSV status=初当り
9,12:24,0049,g4,PSCUBE history CSV status=初当り
10,12:58,0056,g2,PSCUBE history CSV status=初当り
11,13:00,0054,g9,PSCUBE history CSV status=初当り
12,13:22,0074,g2,PSCUBE history CSV status=初当り
13,13:23,0047,g2,PSCUBE history CSV status=初当り
14,13:30,0067,g4,PSCUBE history CSV status=初当り
15,13:34,0064,g1,PSCUBE history CSV status=初当り
16,13:51,0055,g1,PSCUBE history CSV status=初当り
17,13:59,0043,g7,PSCUBE history CSV status=初当り
18,14:14,0044,g8,PSCUBE history CSV status=初当り
19,14:20,0045,g9,PSCUBE history CSV status=初当り
20,14:30,0076,g4,PSCUBE history CSV status=初当り
21,14:31,0058,g4,PSCUBE history CSV status=初当り
22,14:53,0052,g7,PSCUBE history CSV status=初当り
23,14:57,0050,g5,PSCUBE history CSV status=初当り
24,15:11,0072,g9,PSCUBE history CSV status=初当り
25,15:16,0039,g3,PSCUBE history CSV status=初当り
26,15:52,0048,g3,PSCUBE history CSV status=初当り
27,16:04,0068,g5,PSCUBE history CSV status=初当り
28,16:20,0061,g7,PSCUBE history CSV status=初当り
29,18:18,0040,g4,PSCUBE history CSV status=初当り
30,18:39,0059,g5,PSCUBE history CSV status=初当り
31,18:50,0060,g6,PSCUBE history CSV status=初当り
32,19:12,0077,g5,PSCUBE history CSV status=初当り
33,20:27,0041,g5,PSCUBE history CSV status=初当り
34,20:44,0066,g3,PSCUBE history CSV status=初当り
