group,machine_count,machines,initial_count,continuation_count,total_hit_count,continuation_per_initial,final_group_close
g1,4,"046,055,064,073",12,20,32,1.6667,4995
g2,4,"047,056,065,074",21,63,84,3.0,52413
g3,5,"039,048,057,066,075",11,24,35,2.1818,-29150
g4,5,"040,049,058,067,076",13,25,38,1.9231,-10637
g5,5,"041,050,059,068,077",6,15,21,2.5,-52685
g6,4,"042,051,060,069",5,16,21,3.2,-15073
g7,4,"043,052,061,070",15,25,40,1.6667,-9078
g8,4,"044,053,062,071",11,37,48,3.3636,18026
g9,4,"045,054,063,072",8,34,42,4.25,23233
