machine,group,first_hit_time,first_hit_order,source
0039,g3,15:16,25,PSCUBE history CSV status=初当り
0040,g4,18:18,29,PSCUBE history CSV status=初当り
0041,g5,20:27,33,PSCUBE history CSV status=初当り
0042,g6,,,no qualifying history event
0043,g7,13:59,17,PSCUBE history CSV status=初当り
0044,g8,14:14,18,PSCUBE history CSV status=初当り
0045,g9,14:20,19,PSCUBE history CSV status=初当り
0046,g1,,,no qualifying history event
0047,g2,13:23,13,PSCUBE history CSV status=初当り
0048,g3,15:52,26,PSCUBE history CSV status=初当り
0049,g4,12:24,9,PSCUBE history CSV status=初当り
0050,g5,14:57,23,PSCUBE history CSV status=初当り
0051,g6,12:18,8,PSCUBE history CSV status=初当り
0052,g7,14:53,22,PSCUBE history CSV status=初当り
0053,g8,11:46,5,PSCUBE history CSV status=初当り
0054,g9,13:00,11,PSCUBE history CSV status=初当り
0055,g1,13:51,16,PSCUBE history CSV status=初当り
0056,g2,12:58,10,PSCUBE history CSV status=初当り
0057,g3,10:40,3,PSCUBE history CSV status=初当り
0058,g4,14:31,21,PSCUBE history CSV status=初当り
0059,g5,18:39,30,PSCUBE history CSV status=初当り
0060,g6,18:50,31,PSCUBE history CSV status=初当り
0061,g7,16:20,28,PSCUBE history CSV status=初当り
0062,g8,10:22,2,PSCUBE history CSV status=初当り
0063,g9,,,no qualifying history event
0064,g1,13:34,15,PSCUBE history CSV status=初当り
0065,g2,10:15,1,PSCUBE history CSV status=初当り
0066,g3,20:44,34,PSCUBE history CSV status=初当り
0067,g4,13:30,14,PSCUBE history CSV status=初当り
0068,g5,16:04,27,PSCUBE history CSV status=初当り
0069,g6,,,no qualifying history event
0070,g7,11:01,4,PSCUBE history CSV status=初当り
0071,g8,,,no qualifying history event
0072,g9,15:11,24,PSCUBE history CSV status=初当り
0073,g1,11:51,7,PSCUBE history CSV status=初当り
0074,g2,13:22,12,PSCUBE history CSV status=初当り
0075,g3,11:47,6,PSCUBE history CSV status=初当り
0076,g4,14:30,20,PSCUBE history CSV status=初当り
0077,g5,19:12,32,PSCUBE history CSV status=初当り
