group,machines,machine_count,initial_hit_count,unique_machines_with_initial_hit,09-12_initial_hit_count,12-15_initial_hit_count,15-18_initial_hit_count,18-close_initial_hit_count,final_total
g1,"046,055,064,073",4,13,4,1,6,3,3,39451
g2,"047,056,065,074",4,13,4,0,5,6,2,32543
g3,"039,048,057,066,075",5,26,5,1,10,7,8,22772
g4,"040,049,058,067,076",5,21,5,3,7,6,5,735
g5,"041,050,059,068,077",5,28,5,8,8,9,3,85740
g6,"042,051,060,069",4,19,4,2,8,5,4,4077
g7,"043,052,061,070",4,13,4,0,5,3,5,5430
g8,"044,053,062,071",4,18,4,3,7,6,2,32146
g9,"045,054,063,072",4,14,4,0,5,6,3,-23628
