group,time_bin,start_time,end_time,initial_count,continuation_count,total_hit_count,continuation_per_initial
g1,09-12,09:00,12:00,1,1,2,1.0
g1,12-15,12:00,15:00,6,34,40,5.6667
g1,15-18,15:00,18:00,3,8,11,2.6667
g1,18-close,18:00,24:00,3,20,23,6.6667
g2,09-12,09:00,12:00,0,0,0,
g2,12-15,12:00,15:00,5,15,20,3.0
g2,15-18,15:00,18:00,6,24,30,4.0
g2,18-close,18:00,24:00,2,14,16,7.0
g3,09-12,09:00,12:00,1,1,2,1.0
g3,12-15,12:00,15:00,10,24,34,2.4
g3,15-18,15:00,18:00,7,18,25,2.5714
g3,18-close,18:00,24:00,8,20,28,2.5
g4,09-12,09:00,12:00,3,8,11,2.6667
g4,12-15,12:00,15:00,7,9,16,1.2857
g4,15-18,15:00,18:00,6,32,38,5.3333
g4,18-close,18:00,24:00,5,7,12,1.4
g5,09-12,09:00,12:00,8,26,34,3.25
g5,12-15,12:00,15:00,8,21,29,2.625
g5,15-18,15:00,18:00,9,43,52,4.7778
g5,18-close,18:00,24:00,3,7,10,2.3333
g6,09-12,09:00,12:00,2,0,2,0.0
g6,12-15,12:00,15:00,8,7,15,0.875
g6,15-18,15:00,18:00,5,15,20,3.0
g6,18-close,18:00,24:00,4,10,14,2.5
g7,09-12,09:00,12:00,0,0,0,
g7,12-15,12:00,15:00,5,10,15,2.0
g7,15-18,15:00,18:00,3,2,5,0.6667
g7,18-close,18:00,24:00,5,28,33,5.6
g8,09-12,09:00,12:00,3,5,8,1.6667
g8,12-15,12:00,15:00,7,22,29,3.1429
g8,15-18,15:00,18:00,6,21,27,3.5
g8,18-close,18:00,24:00,2,5,7,2.5
g9,09-12,09:00,12:00,0,0,0,
g9,12-15,12:00,15:00,5,10,15,2.0
g9,15-18,15:00,18:00,6,10,16,1.6667
g9,18-close,18:00,24:00,3,3,6,1.0
