group,machine_count,machines,initial_count,continuation_count,total_hit_count,continuation_per_initial,final_group_close
g1,4,"046,055,064,073",13,63,76,4.8462,39451
g2,4,"047,056,065,074",13,53,66,4.0769,32543
g3,5,"039,048,057,066,075",26,63,89,2.4231,22772
g4,5,"040,049,058,067,076",21,56,77,2.6667,735
g5,5,"041,050,059,068,077",28,97,125,3.4643,85740
g6,4,"042,051,060,069",19,32,51,1.6842,4077
g7,4,"043,052,061,070",13,40,53,3.0769,5430
g8,4,"044,053,062,071",18,53,71,2.9444,32146
g9,4,"045,054,063,072",14,23,37,1.6429,-23628
