group,wavelab_rank,morning_rank,activity_start_rank,peak_activity_rank,peak_delta_rank,final_rank
g1,7,5,5,8,8,2
g2,1,9,8,1,5,3
g3,3,6,6,3,3,5
g4,4,2,2,9,4,8
g5,8,1,1,2,9,1
g6,9,3,3,4,6,7
g7,2,8,9,7,2,6
g8,5,4,4,5,1,4
g9,6,7,7,6,7,9
