order,time,machine,group,source
1,10:07,0059,g5,PSCUBE history CSV status=初当り
2,10:26,0067,g4,PSCUBE history CSV status=初当り
3,10:37,0068,g5,PSCUBE history CSV status=初当り
4,10:38,0069,g6,PSCUBE history CSV status=初当り
5,10:39,0041,g5,PSCUBE history CSV status=初当り
6,10:57,0071,g8,PSCUBE history CSV status=初当り
7,11:01,0062,g8,PSCUBE history CSV status=初当り
8,11:16,0050,g5,PSCUBE history CSV status=初当り
9,11:21,0040,g4,PSCUBE history CSV status=初当り
10,11:32,0064,g1,PSCUBE history CSV status=初当り
11,11:35,0049,g4,PSCUBE history CSV status=初当り
12,11:36,0048,g3,PSCUBE history CSV status=初当り
13,11:45,0053,g8,PSCUBE history CSV status=初当り
14,12:00,0051,g6,PSCUBE history CSV status=初当り
15,12:03,0072,g9,PSCUBE history CSV status=初当り
16,12:03,0073,g1,PSCUBE history CSV status=初当り
17,12:04,0044,g8,PSCUBE history CSV status=初当り
18,12:06,0077,g5,PSCUBE history CSV status=初当り
19,12:08,0058,g4,PSCUBE history CSV status=初当り
20,12:09,0066,g3,PSCUBE history CSV status=初当り
21,12:11,0060,g6,PSCUBE history CSV status=初当り
22,12:15,0042,g6,PSCUBE history CSV status=初当り
23,12:20,0070,g7,PSCUBE history CSV status=初当り
24,12:24,0065,g2,PSCUBE history CSV status=初当り
25,12:26,0076,g4,PSCUBE history CSV status=初当り
26,12:43,0045,g9,PSCUBE history CSV status=初当り
27,12:53,0039,g3,PSCUBE history CSV status=初当り
28,12:59,0055,g1,PSCUBE history CSV status=初当り
29,13:17,0054,g9,PSCUBE history CSV status=初当り
30,13:19,0074,g2,PSCUBE history CSV status=初当り
31,14:00,0075,g3,PSCUBE history CSV status=初当り
32,14:05,0043,g7,PSCUBE history CSV status=初当り
33,14:17,0061,g7,PSCUBE history CSV status=初当り
34,14:22,0056,g2,PSCUBE history CSV status=初当り
35,14:49,0057,g3,PSCUBE history CSV status=初当り
36,15:12,0046,g1,PSCUBE history CSV status=初当り
37,15:20,0063,g9,PSCUBE history CSV status=初当り
38,15:52,0052,g7,PSCUBE history CSV status=初当り
39,16:08,0047,g2,PSCUBE history CSV status=初当り
