machine,group,first_hit_time,first_hit_order,source
0039,g3,12:53,27,PSCUBE history CSV status=初当り
0040,g4,11:21,9,PSCUBE history CSV status=初当り
0041,g5,10:39,5,PSCUBE history CSV status=初当り
0042,g6,12:15,22,PSCUBE history CSV status=初当り
0043,g7,14:05,32,PSCUBE history CSV status=初当り
0044,g8,12:04,17,PSCUBE history CSV status=初当り
0045,g9,12:43,26,PSCUBE history CSV status=初当り
0046,g1,15:12,36,PSCUBE history CSV status=初当り
0047,g2,16:08,39,PSCUBE history CSV status=初当り
0048,g3,11:36,12,PSCUBE history CSV status=初当り
0049,g4,11:35,11,PSCUBE history CSV status=初当り
0050,g5,11:16,8,PSCUBE history CSV status=初当り
0051,g6,12:00,14,PSCUBE history CSV status=初当り
0052,g7,15:52,38,PSCUBE history CSV status=初当り
0053,g8,11:45,13,PSCUBE history CSV status=初当り
0054,g9,13:17,29,PSCUBE history CSV status=初当り
0055,g1,12:59,28,PSCUBE history CSV status=初当り
0056,g2,14:22,34,PSCUBE history CSV status=初当り
0057,g3,14:49,35,PSCUBE history CSV status=初当り
0058,g4,12:08,19,PSCUBE history CSV status=初当り
0059,g5,10:07,1,PSCUBE history CSV status=初当り
0060,g6,12:11,21,PSCUBE history CSV status=初当り
0061,g7,14:17,33,PSCUBE history CSV status=初当り
0062,g8,11:01,7,PSCUBE history CSV status=初当り
0063,g9,15:20,37,PSCUBE history CSV status=初当り
0064,g1,11:32,10,PSCUBE history CSV status=初当り
0065,g2,12:24,24,PSCUBE history CSV status=初当り
0066,g3,12:09,20,PSCUBE history CSV status=初当り
0067,g4,10:26,2,PSCUBE history CSV status=初当り
0068,g5,10:37,3,PSCUBE history CSV status=初当り
0069,g6,10:38,4,PSCUBE history CSV status=初当り
0070,g7,12:20,23,PSCUBE history CSV status=初当り
0071,g8,10:57,6,PSCUBE history CSV status=初当り
0072,g9,12:03,15,PSCUBE history CSV status=初当り
0073,g1,12:03,16,PSCUBE history CSV status=初当り
0074,g2,13:19,30,PSCUBE history CSV status=初当り
0075,g3,14:00,31,PSCUBE history CSV status=初当り
0076,g4,12:26,25,PSCUBE history CSV status=初当り
0077,g5,12:06,18,PSCUBE history CSV status=初当り
