time_bin,start_minute,end_time,group,initial_count,continuation_count,total_hit_count,group_value_start,group_value_end,group_delta
09:00,540,09:30,g1,0,0,0,0,0,0
09:00,540,09:30,g2,0,0,0,0,0,0
09:00,540,09:30,g3,0,0,0,0,0,0
09:00,540,09:30,g4,0,0,0,0,0,0
09:00,540,09:30,g5,0,0,0,0,0,0
09:00,540,09:30,g6,0,0,0,0,0,0
09:00,540,09:30,g7,0,0,0,0,0,0
09:00,540,09:30,g8,0,0,0,0,0,0
09:00,540,09:30,g9,0,0,0,0,0,0
09:30,570,10:00,g1,0,0,0,0,0,0
09:30,570,10:00,g2,0,0,0,0,0,0
09:30,570,10:00,g3,0,0,0,0,0,0
09:30,570,10:00,g4,0,0,0,0,0,0
09:30,570,10:00,g5,0,0,0,0,0,0
09:30,570,10:00,g6,0,0,0,0,0,0
09:30,570,10:00,g7,0,0,0,0,0,0
09:30,570,10:00,g8,0,0,0,0,0,0
09:30,570,10:00,g9,0,0,0,0,0,0
10:00,600,10:30,g1,0,0,0,0,-766,-766
10:00,600,10:30,g2,0,0,0,0,0,0
10:00,600,10:30,g3,0,0,0,0,0,0
10:00,600,10:30,g4,1,0,1,0,-2321,-2321
10:00,600,10:30,g5,1,4,5,0,3369,3369
10:00,600,10:30,g6,0,0,0,0,-1511,-1511
10:00,600,10:30,g7,0,0,0,0,0,0
10:00,600,10:30,g8,0,0,0,0,-788,-788
10:00,600,10:30,g9,0,0,0,0,-178,-178
10:30,630,11:00,g1,0,0,0,-766,-1532,-766
10:30,630,11:00,g2,0,0,0,0,-511,-511
10:30,630,11:00,g3,0,0,0,0,-2400,-2400
10:30,630,11:00,g4,0,4,4,-2321,219,2540
10:30,630,11:00,g5,4,6,10,3369,11197,7828
10:30,630,11:00,g6,1,0,1,-1511,-3022,-1511
10:30,630,11:00,g7,0,0,0,0,0,0
10:30,630,11:00,g8,1,0,1,-788,-2566,-1778
10:30,630,11:00,g9,0,0,0,-178,-1600,-1422
11:00,660,11:30,g1,0,0,0,-1532,-4409,-2877
11:00,660,11:30,g2,0,0,0,-511,-511,0
11:00,660,11:30,g3,0,0,0,-2400,-6078,-3678
11:00,660,11:30,g4,1,1,2,219,-2947,-3166
11:00,660,11:30,g5,2,12,14,11197,22298,11101
11:00,660,11:30,g6,1,0,1,-3022,-3556,-534
11:00,660,11:30,g7,0,0,0,0,0,0
11:00,660,11:30,g8,1,5,6,-2566,4533,7099
11:00,660,11:30,g9,0,0,0,-1600,-3733,-2133
11:30,690,12:00,g1,1,1,2,-4409,-4732,-323
11:30,690,12:00,g2,0,0,0,-511,-1532,-1021
11:30,690,12:00,g3,1,1,2,-6078,-5408,670
11:30,690,12:00,g4,1,3,4,-2947,2559,5506
11:30,690,12:00,g5,1,4,5,22298,28631,6333
11:30,690,12:00,g6,0,0,0,-3556,-5689,-2133
11:30,690,12:00,g7,0,0,0,0,0,0
11:30,690,12:00,g8,1,0,1,4533,3500,-1033
11:30,690,12:00,g9,0,0,0,-3733,-4267,-534
12:00,720,12:30,g1,2,3,5,-4732,-4689,43
12:00,720,12:30,g2,1,0,1,-1532,-6552,-5020
12:00,720,12:30,g3,2,5,7,-5408,-4610,798
12:00,720,12:30,g4,3,2,5,2559,-3646,-6205
12:00,720,12:30,g5,4,11,15,28631,42042,13411
12:00,720,12:30,g6,3,0,3,-5689,-8274,-2585
12:00,720,12:30,g7,1,1,2,0,275,275
12:00,720,12:30,g8,1,0,1,3500,-269,-3769
12:00,720,12:30,g9,1,0,1,-4267,-6400,-2133
12:30,750,13:00,g1,2,14,16,-4689,5220,9909
12:30,750,13:00,g2,0,0,0,-6552,-8307,-1755
12:30,750,13:00,g3,1,5,6,-4610,-2662,1948
12:30,750,13:00,g4,1,2,3,-3646,-698,2948
12:30,750,13:00,g5,1,3,4,42042,42261,219
12:30,750,13:00,g6,2,1,3,-8274,-8711,-437
