group,time_bin,start_time,end_time,initial_count,continuation_count,total_hit_count,continuation_per_initial
g1,09-12,09:00,12:00,1,2,3,2.0
g1,12-15,12:00,15:00,0,10,10,
g1,15-18,15:00,18:00,3,8,11,2.6667
g1,18-close,18:00,24:00,3,5,8,1.6667
g2,09-12,09:00,12:00,4,5,9,1.25
g2,12-15,12:00,15:00,1,7,8,7.0
g2,15-18,15:00,18:00,5,7,12,1.4
g2,18-close,18:00,24:00,3,13,16,4.3333
g3,09-12,09:00,12:00,1,1,2,1.0
g3,12-15,12:00,15:00,4,22,26,5.5
g3,15-18,15:00,18:00,5,9,14,1.8
g3,18-close,18:00,24:00,1,0,1,0.0
g4,09-12,09:00,12:00,2,2,4,1.0
g4,12-15,12:00,15:00,7,16,23,2.2857
g4,15-18,15:00,18:00,4,6,10,1.5
g4,18-close,18:00,24:00,5,9,14,1.8
g5,09-12,09:00,12:00,1,5,6,5.0
g5,12-15,12:00,15:00,11,20,31,1.8182
g5,15-18,15:00,18:00,7,21,28,3.0
g5,18-close,18:00,24:00,0,0,0,
g6,09-12,09:00,12:00,2,0,2,0.0
g6,12-15,12:00,15:00,5,11,16,2.2
g6,15-18,15:00,18:00,5,4,9,0.8
g6,18-close,18:00,24:00,3,6,9,2.0
g7,09-12,09:00,12:00,1,0,1,0.0
g7,12-15,12:00,15:00,2,9,11,4.5
g7,15-18,15:00,18:00,5,25,30,5.0
g7,18-close,18:00,24:00,2,4,6,2.0
g8,09-12,09:00,12:00,0,0,0,
g8,12-15,12:00,15:00,3,0,3,0.0
g8,15-18,15:00,18:00,7,25,32,3.5714
g8,18-close,18:00,24:00,3,3,6,1.0
g9,09-12,09:00,12:00,0,0,0,
g9,12-15,12:00,15:00,5,4,9,0.8
g9,15-18,15:00,18:00,6,36,42,6.0
g9,18-close,18:00,24:00,2,0,2,0.0
