machine,group,initial_count,continuation_count,total_hit_count,continuation_per_initial,high,low,close
0039,g3,5,10,15,2.0,517,-8444,-1600
0040,g4,2,6,8,3.0,1466,-4533,-4533
0041,g5,5,19,24,3.8,18793,-4622,15862
0042,g6,3,2,5,0.6667,0,-13333,-13333
0043,g7,3,8,11,2.6667,3103,-8889,-622
0044,g8,2,8,10,4.0,517,-10311,-3200
0045,g9,4,11,15,2.75,14138,-3733,10345
0046,g1,1,1,2,1.0,431,-2222,-2222
0047,g2,4,4,8,1.0,0,-10044,-8622
0048,g3,2,18,20,9.0,18276,-7822,9655
0049,g4,4,2,6,0.5,0,-7378,-7111
0050,g5,3,1,4,0.3333,0,-9422,-9422
0051,g6,6,13,19,2.1667,6897,-3733,5431
0052,g7,1,7,8,7.0,2931,-7289,2414
0053,g8,5,18,23,3.6,15537,-11574,14711
0054,g9,3,7,10,2.3333,1207,-14756,-14756
0055,g1,1,2,3,2.0,1379,-800,-533
0056,g2,3,14,17,4.6667,4310,-11911,3793
0057,g3,1,1,2,1.0,0,-9600,-9600
0058,g4,6,10,16,1.6667,4483,-4800,345
0059,g5,6,9,15,1.5,2672,-8711,-8711
0060,g6,1,0,1,0.0,603,-5778,-5778
0061,g7,3,11,14,3.6667,9741,-3289,4828
0062,g8,1,1,2,1.0,0,-13333,-13333
0063,g9,3,17,20,5.6667,17069,-6933,15517
0064,g1,2,9,11,4.5,7069,-1867,5086
0065,g2,5,12,17,2.4,15690,-356,345
0066,g3,1,0,1,0.0,0,-11200,-11200
0067,g4,2,8,10,4.0,2328,-9689,-2667
0068,g5,1,3,4,3.0,0,-15822,-15822
0069,g6,5,6,11,1.2,6466,-3022,431
0070,g7,3,12,15,4.0,6207,-5778,-533
0071,g8,5,1,6,0.2,948,-7022,-6933
0072,g9,3,5,8,1.6667,0,-8978,-7733
0073,g1,3,13,16,4.3333,17759,0,9310
0074,g2,1,2,3,2.0,0,-24766,-20936
0075,g3,2,3,5,1.5,2931,-2044,-978
0076,g4,4,7,11,1.75,4828,-4533,3017
0077,g5,4,14,18,3.5,16379,-2311,10172
