order,time,machine,group,source
1,10:42,0065,g2,PSCUBE history CSV status=初当り
2,10:54,0042,g6,PSCUBE history CSV status=初当り
3,11:15,0051,g6,PSCUBE history CSV status=初当り
4,11:15,0059,g5,PSCUBE history CSV status=初当り
5,11:22,0058,g4,PSCUBE history CSV status=初当り
6,11:49,0073,g1,PSCUBE history CSV status=初当り
7,11:50,0039,g3,PSCUBE history CSV status=初当り
8,11:59,0070,g7,PSCUBE history CSV status=初当り
9,12:08,0060,g6,PSCUBE history CSV status=初当り
10,12:17,0077,g5,PSCUBE history CSV status=初当り
11,12:31,0045,g9,PSCUBE history CSV status=初当り
12,12:43,0050,g5,PSCUBE history CSV status=初当り
13,12:45,0057,g3,PSCUBE history CSV status=初当り
14,13:11,0040,g4,PSCUBE history CSV status=初当り
15,13:17,0041,g5,PSCUBE history CSV status=初当り
16,13:18,0054,g9,PSCUBE history CSV status=初当り
17,13:29,0049,g4,PSCUBE history CSV status=初当り
18,13:34,0048,g3,PSCUBE history CSV status=初当り
19,13:35,0061,g7,PSCUBE history CSV status=初当り
20,13:44,0063,g9,PSCUBE history CSV status=初当り
21,13:55,0067,g4,PSCUBE history CSV status=初当り
22,13:55,0071,g8,PSCUBE history CSV status=初当り
23,14:06,0069,g6,PSCUBE history CSV status=初当り
24,14:27,0053,g8,PSCUBE history CSV status=初当り
25,14:49,0076,g4,PSCUBE history CSV status=初当り
26,14:54,0072,g9,PSCUBE history CSV status=初当り
27,15:13,0047,g2,PSCUBE history CSV status=初当り
28,15:19,0056,g2,PSCUBE history CSV status=初当り
29,15:30,0062,g8,PSCUBE history CSV status=初当り
30,15:35,0064,g1,PSCUBE history CSV status=初当り
31,15:57,0044,g8,PSCUBE history CSV status=初当り
32,15:57,0075,g3,PSCUBE history CSV status=初当り
33,16:12,0052,g7,PSCUBE history CSV status=初当り
34,17:01,0043,g7,PSCUBE history CSV status=初当り
35,17:21,0055,g1,PSCUBE history CSV status=初当り
36,17:23,0046,g1,PSCUBE history CSV status=初当り
37,17:42,0068,g5,PSCUBE history CSV status=初当り
38,18:54,0066,g3,PSCUBE history CSV status=初当り
39,21:50,0074,g2,PSCUBE history CSV status=初当り
