time,minute,g1,g2,g3,g4,g5,g6,g7,g8,g9,all39_total
09:00,540,0,0,0,0,0,0,0,0,0,0
09:05,545,0,0,0,0,0,0,0,0,0,0
09:10,550,0,0,0,0,0,0,0,0,0,0
09:15,555,0,0,0,0,0,0,0,0,0,0
09:20,560,0,0,0,0,0,0,0,0,0,0
09:25,565,0,0,0,0,0,0,0,0,0,0
09:30,570,0,0,0,0,0,0,0,0,0,0
09:35,575,0,0,0,0,0,0,0,0,0,0
09:40,580,0,0,0,0,0,0,0,0,0,0
09:45,585,0,0,0,0,0,0,0,0,0,0
09:50,590,0,0,0,0,0,0,0,0,0,0
09:55,595,0,0,0,0,0,0,0,0,0,0
10:00,600,0,0,0,0,0,0,0,0,0,0
10:05,605,0,0,0,0,0,0,0,0,0,0
10:10,610,0,-178,0,0,-444,0,0,0,-178,-800
10:15,615,0,-178,0,0,-444,0,0,0,-178,-800
10:20,620,0,-178,0,0,-444,0,0,0,-178,-800
10:25,625,0,-1422,-889,-267,-1422,0,-356,0,-711,-5067
10:30,630,0,-1422,-889,-267,-1422,0,-356,0,-711,-5067
10:35,635,0,-1422,-889,-267,-1422,0,-356,0,-711,-5067
10:40,640,0,-1956,-1600,-711,-3200,-533,-800,0,-711,-9511
10:45,645,0,-1956,-1600,-711,-3200,-533,-800,0,-711,-9511
10:50,650,0,-1956,-1600,-711,-3200,-533,-800,0,-711,-9511
10:55,655,0,-1956,-1600,-711,-3200,-533,-800,0,-711,-9511
11:00,660,0,469,-1689,-1777,-5422,-889,-1244,0,-711,-11263
11:05,665,0,469,-1689,-1777,-5422,-889,-1244,0,-711,-11263
11:10,670,0,1503,-2400,-2133,-6400,-178,-1867,0,-711,-12186
11:15,675,0,1503,-2400,-2133,-6400,-178,-1867,0,-711,-12186
11:20,680,0,1503,-2400,-2133,-6400,-178,-1867,0,-711,-12186
11:25,685,0,1503,-2400,-2133,-6400,-178,-1867,0,-711,-12186
11:30,690,0,4241,-6844,-4110,-4178,-1784,-2489,-340,-1600,-17104
11:35,695,0,4241,-6844,-4110,-4178,-1784,-2489,-340,-1600,-17104
11:40,700,0,4241,-6844,-4110,-4178,-1784,-2489,-340,-1600,-17104
11:45,705,0,2495,-9601,-5925,-3373,-4978,-4000,-2421,-3200,-31003
11:50,710,0,2495,-9601,-5925,-3373,-4978,-4000,-2421,-3200,-31003
11:55,715,0,2495,-9601,-5925,-3373,-4978,-4000,-2421,-3200,-31003
12:00,720,0,2495,-9601,-5925,-3373,-4978,-4000,-2421,-3200,-31003
12:05,725,5000,5055,-7558,-5100,-7879,-7733,-3733,-3790,-6044,-31782
12:10,730,5000,5055,-7558,-5100,-7879,-7733,-3733,-3790,-6044,-31782
12:15,735,5000,5055,-7558,-5100,-7879,-7733,-3733,-3790,-6044,-31782
12:20,740,5000,5055,-7558,-5100,-7879,-7733,-3733,-3790,-6044,-31782
12:25,745,5000,5055,-7558,-5100,-7879,-7733,-3733,-3790,-6044,-31782
12:30,750,13087,11779,-9511,-6805,-7859,-7485,3007,-6041,-8178,-18006
12:35,755,13087,11779,-9511,-6805,-7859,-7485,3007,-6041,-8178,-18006
12:40,760,13087,11779,-9511,-6805,-7859,-7485,3007,-6041,-8178,-18006
12:45,765,13087,11779,-9511,-6805,-7859,-7485,3007,-6041,-8178,-18006
12:50,770,17225,8922,-12977,-9786,-5287,-2093,2145,-8469,-9422,-19742
12:55,775,17225,8922,-12977,-9786,-5287,-2093,2145,-8469,-9422,-19742
13:00,780,17225,8922,-12977,-9786,-5287,-2093,2145,-8469,-9422,-19742
13:05,785,16880,6249,-12088,-11623,-3608,-861,661,-10194,-11022,-25606
13:10,790,16880,6249,-12088,-11623,-3608,-861,661,-10194,-11022,-25606
13:15,795,16880,6249,-12088,-11623,-3608,-861,661,-10194,-11022,-25606
13:20,800,16880,6249,-12088,-11623,-3608,-861,661,-10194,-11022,-25606
13:25,805,16363,2131,-15822,-9121,-3089,763,-2324,-13393,-9600,-34092
13:30,810,16363,2131,-15822,-9121,-3089,763,-2324,-13393,-9600,-34092
13:35,815,16363,2131,-15822,-9121,-3089,763,-2324,-13393,-9600,-34092
13:40,820,16363,2131,-15822,-9121,-3089,763,-2324,-13393,-9600,-34092
13:45,825,16363,2131,-15822,-9121,-3089,763,-2324,-13393,-9600,-34092
13:50,830,16363,1727,-15645,-11295,-6928,-214,-1316,-14638,-10044,-41990
13:55,835,16363,1727,-15645,-11295,-6928,-214,-1316,-14638,-10044,-41990
14:00,840,16363,1727,-15645,-11295,-6928,-214,-1316,-14638,-10044,-41990
14:05,845,16363,1727,-15645,-11295,-6928,-214,-1316,-14638,-10044,-41990
14:10,850,15490,111,-12926,-11200,-9054,-2169,1913,-17008,-12177,-47020
14:15,855,15490,111,-12926,-11200,-9054,-2169,1913,-17008,-12177,-47020
14:20,860,15490,111,-12926,-11200,-9054,-2169,1913,-17008,-12177,-47020
14:25,865,15490,111,-12926,-11200,-9054,-2169,1913,-17008,-12177,-47020
14:30,870,12788,-2751,-9747,-9107,-7901,-1516,-2718,-20228,-16445,-57625
14:35,875,12788,-2751,-9747,-9107,-7901,-1516,-2718,-20228,-16445,-57625
14:40,880,12788,-2751,-9747,-9107,-7901,-1516,-2718,-20228,-16445,-57625
14:45,885,9814,-8667,-2794,-9156,-4528,-4921,-5347,-22896,-13512,-62007
14:50,890,9814,-8667,-2794,-9156,-4528,-4921,-5347,-22896,-13512,-62007
14:55,895,9814,-8667,-2794,-9156,-4528,-4921,-5347,-22896,-13512,-62007
15:00,900,9814,-8667,-2794,-9156,-4528,-4921,-5347,-22896,-13512,-62007
15:05,905,9814,-8667,-2794,-9156,-4528,-4921,-5347,-22896,-13512,-62007
15:10,910,9297,-12657,4054,-3584,1018,-7995,-7916,-27732,-14489,-60004
15:15,915,9297,-12657,4054,-3584,1018,-7995,-7916,-27732,-14489,-60004
15:20,920,9297,-12657,4054,-3584,1018,-7995,-7916,-27732,-14489,-60004
15:25,925,9297,-12657,4054,-3584,1018,-7995,-7916,-27732,-14489,-60004
15:30,930,8585,-11156,2276,-8062,5138,-8081,-6049,-30531,-18222,-66102
15:35,935,8585,-11156,2276,-8062,5138,-8081,-6049,-30531,-18222,-66102
15:40,940,8585,-11156,2276,-8062,5138,-8081,-6049,-30531,-18222,-66102
15:45,945,11917,-11538,-2257,-10782,10002,-5060,-4126,-30375,-15949,-58168
15:50,950,11917,-11538,-2257,-10782,10002,-5060,-4126,-30375,-15949,-58168
15:55,955,11917,-11538,-2257,-10782,10002,-5060,-4126,-30375,-15949,-58168
16:00,960,11917,-11538,-2257,-10782,10002,-5060,-4126,-30375,-15949,-58168
16:05,965,11917,-11538,-2257,-10782,10002,-5060,-4126,-30375,-15949,-58168
16:10,970,15797,-15561,-1724,-8800,8997,-4227,-7148,-31930,-16460,-61056
16:15,975,15797,-15561,-1724,-8800,8997,-4227,-7148,-31930,-16460,-61056
16:20,980,15797,-15561,-1724,-8800,8997,-4227,-7148,-31930,-16460,-61056
16:25,985,15797,-15561,-1724,-8800,8997,-4227,-7148,-31930,-16460,-61056
16:30,990,14159,-20904,-1780,-9866,9620,-6598,-4304,-21593,-6370,-47636
16:35,995,14159,-20904,-1780,-9866,9620,-6598,-4304,-21593,-6370,-47636
16:40,1000,14159,-20904,-1780,-9866,9620,-6598,-4304,-21593,-6370,-47636
16:45,1005,14159,-20904,-1780,-9866,9620,-6598,-4304,-21593,-6370,-47636
16:50,1010,14159,-23248,-3534,-10222,9962,-9373,-1698,-18190,9588,-32556
16:55,1015,14159,-23248,-3534,-10222,9962,-9373,-1698,-18190,9588,-32556
17:00,1020,14159,-23248,-3534,-10222,9962,-9373,-1698,-18190,9588,-32556
17:05,1025,12502,-23526,-5331,-11664,7484,-12517,-4150,-17080,16485,-37797
17:10,1030,12502,-23526,-5331,-11664,7484,-12517,-4150,-17080,16485,-37797
17:15,1035,12502,-23526,-5331,-11664,7484,-12517,-4150,-17080,16485,-37797
17:20,1040,12502,-23526,-5331,-11664,7484,-12517,-4150,-17080,16485,-37797
17:25,1045,12502,-23526,-5331,-11664,7484,-12517,-4150,-17080,16485,-37797
17:30,1050,12627,-24315,-7338,-11911,2026,-14104,-689,-12991,23307,-33388
17:35,1055,12627,-24315,-7338,-11911,2026,-14104,-689,-12991,23307,-33388
17:40,1060,12627,-24315,-7338,-11911,2026,-14104,-689,-12991,23307,-33388
17:45,1065,12627,-24315,-7338,-11911,2026,-14104,-689,-12991,23307,-33388
17:50,1070,15172,-23588,-2005,-12978,1999,-14815,9210,-9412,19617,-16800
17:55,1075,15172,-23588,-2005,-12978,1999,-14815,9210,-9412,19617,-16800
18:00,1080,15172,-23588,-2005,-12978,1999,-14815,9210,-9412,19617,-16800
18:05,1085,15172,-23588,-2005,-12978,1999,-14815,9210,-9412,19617,-16800
18:10,1090,13534,-24911,201,-15022,6372,-14815,10652,-5569,17509,-12049
18:15,1095,13534,-24911,201,-15022,6372,-14815,10652,-5569,17509,-12049
18:20,1100,13534,-24911,201,-15022,6372,-14815,10652,-5569,17509,-12049
18:25,1105,13362,-25344,-1265,-12994,3449,-15348,8650,-4462,15613,-18339
18:30,1110,13362,-25344,-1265,-12994,3449,-15348,8650,-4462,15613,-18339
18:35,1115,13362,-25344,-1265,-12994,3449,-15348,8650,-4462,15613,-18339
18:40,1120,13362,-25344,-1265,-12994,3449,-15348,8650,-4462,15613,-18339
18:45,1125,13362,-25344,-1265,-12994,3449,-15348,8650,-4462,15613,-18339
18:50,1130,14914,-27177,-3288,-12450,1588,-17032,7061,-5352,15258,-26478
18:55,1135,14914,-27177,-3288,-12450,1588,-17032,7061,-5352,15258,-26478
19:00,1140,14914,-27177,-3288,-12450,1588,-17032,7061,-5352,15258,-26478
19:05,1145,14914,-27177,-3288,-12450,1588,-17032,7061,-5352,15258,-26478
19:10,1150,18448,-27932,-3110,-11712,-169,-18010,5836,-6241,13318,-29572
19:15,1155,18448,-27932,-3110,-11712,-169,-18010,5836,-6241,13318,-29572
19:20,1160,18448,-27932,-3110,-11712,-169,-18010,5836,-6241,13318,-29572
19:25,1165,15388,-30519,-5243,-9117,-1841,-19690,10603,-6330,11195,-35554
19:30,1170,15388,-30519,-5243,-9117,-1841,-19690,10603,-6330,11195,-35554
19:35,1175,15388,-30519,-5243,-9117,-1841,-19690,10603,-6330,11195,-35554
19:40,1180,15388,-30519,-5243,-9117,-1841,-19690,10603,-6330,11195,-35554
