group,machines,machine_count,initial_hit_count,unique_machines_with_initial_hit,09-12_initial_hit_count,12-15_initial_hit_count,15-18_initial_hit_count,18-close_initial_hit_count,final_total
g1,"046,055,064,073",4,7,4,1,0,3,3,11641
g2,"047,056,065,074",4,13,4,4,1,5,3,-25420
g3,"039,048,057,066,075",5,11,5,1,4,5,1,-13723
g4,"040,049,058,067,076",5,18,5,2,7,4,5,-10949
g5,"041,050,059,068,077",5,19,5,1,11,7,0,-7921
g6,"042,051,060,069",4,15,4,2,5,5,3,-13249
g7,"043,052,061,070",4,10,4,1,2,5,2,6087
g8,"044,053,062,071",4,13,4,0,3,7,3,-8755
g9,"045,054,063,072",4,13,4,0,5,6,2,3373
