group,wavelab_rank,morning_rank,activity_start_rank,peak_activity_rank,peak_delta_rank,final_rank
g1,5,5,5,7,5,1
g2,3,1,1,8,6,9
g3,7,6,6,3,1,8
g4,6,4,4,1,2,6
g5,2,3,3,2,3,4
g6,4,2,2,5,4,7
g7,1,7,7,4,9,2
g8,8,9,9,9,7,5
g9,9,8,8,6,8,3
