group,machine_count,machines,initial_count,continuation_count,total_hit_count,continuation_per_initial,final_group_close
g1,4,"046,055,064,073",16,39,55,2.4375,10455
g2,4,"047,056,065,074",13,31,44,2.3846,-14256
g3,5,"039,048,057,066,075",28,56,84,2.0,25962
g4,5,"040,049,058,067,076",15,36,51,2.4,-10109
g5,5,"041,050,059,068,077",28,75,103,2.6786,62867
g6,4,"042,051,060,069",18,52,70,2.8889,20542
g7,4,"043,052,061,070",13,35,48,2.6923,-902
g8,4,"044,053,062,071",16,34,50,2.125,3006
g9,4,"045,054,063,072",5,18,23,3.6,-18592
