group,wavelab_rank,morning_rank,activity_start_rank,peak_activity_rank,peak_delta_rank,final_rank
g1,7,6,6,5,6,4
g2,2,4,4,1,1,8
g3,1,3,3,4,2,2
g4,9,5,5,7,4,7
g5,6,2,2,8,3,1
g6,3,1,1,3,9,3
g7,4,7,7,2,7,6
g8,8,9,9,9,5,5
g9,5,8,8,6,8,9
