group,machines,machine_count,initial_hit_count,unique_machines_with_initial_hit,09-12_initial_hit_count,12-15_initial_hit_count,15-18_initial_hit_count,18-close_initial_hit_count,final_total
g1,"046,055,064,073",4,16,4,0,2,6,8,10455
g2,"047,056,065,074",4,13,4,1,6,6,0,-14256
g3,"039,048,057,066,075",5,28,5,2,4,13,9,25962
g4,"040,049,058,067,076",5,15,5,0,6,7,2,-10109
g5,"041,050,059,068,077",5,28,5,3,7,13,5,62867
g6,"042,051,060,069",4,18,4,3,8,3,4,20542
g7,"043,052,061,070",4,13,4,0,5,7,1,-902
g8,"044,053,062,071",4,16,4,0,2,8,6,3006
g9,"045,054,063,072",4,5,4,0,1,4,0,-18592
