group,time_bin,start_time,end_time,initial_count,continuation_count,total_hit_count,continuation_per_initial
g1,09-12,09:00,12:00,0,0,0,
g1,12-15,12:00,15:00,2,1,3,0.5
g1,15-18,15:00,18:00,6,25,31,4.1667
g1,18-close,18:00,24:00,8,13,21,1.625
g2,09-12,09:00,12:00,1,2,3,2.0
g2,12-15,12:00,15:00,6,27,33,4.5
g2,15-18,15:00,18:00,6,2,8,0.3333
g2,18-close,18:00,24:00,0,0,0,
g3,09-12,09:00,12:00,2,0,2,0.0
g3,12-15,12:00,15:00,4,12,16,3.0
g3,15-18,15:00,18:00,13,25,38,1.9231
g3,18-close,18:00,24:00,9,19,28,2.1111
g4,09-12,09:00,12:00,0,0,0,
g4,12-15,12:00,15:00,6,6,12,1.0
g4,15-18,15:00,18:00,7,17,24,2.4286
g4,18-close,18:00,24:00,2,13,15,6.5
g5,09-12,09:00,12:00,3,6,9,2.0
g5,12-15,12:00,15:00,7,21,28,3.0
g5,15-18,15:00,18:00,13,37,50,2.8462
g5,18-close,18:00,24:00,5,11,16,2.2
g6,09-12,09:00,12:00,3,1,4,0.3333
g6,12-15,12:00,15:00,8,16,24,2.0
g6,15-18,15:00,18:00,3,21,24,7.0
g6,18-close,18:00,24:00,4,14,18,3.5
g7,09-12,09:00,12:00,0,0,0,
g7,12-15,12:00,15:00,5,10,15,2.0
g7,15-18,15:00,18:00,7,18,25,2.5714
g7,18-close,18:00,24:00,1,7,8,7.0
g8,09-12,09:00,12:00,0,0,0,
g8,12-15,12:00,15:00,2,3,5,1.5
g8,15-18,15:00,18:00,8,23,31,2.875
g8,18-close,18:00,24:00,6,8,14,1.3333
g9,09-12,09:00,12:00,0,0,0,
g9,12-15,12:00,15:00,1,9,10,9.0
g9,15-18,15:00,18:00,4,9,13,2.25
g9,18-close,18:00,24:00,0,0,0,
