machine,group,initial_count,continuation_count,total_hit_count,continuation_per_initial,high,low,close
0039,g3,8,6,14,0.75,0,-11911,-7644
0040,g4,6,9,15,1.5,8707,-3022,4914
0041,g5,2,16,18,8.0,19483,-2311,16897
0042,g6,5,21,26,4.2,19835,-1787,19339
0043,g7,1,2,3,2.0,3966,-622,-622
0044,g8,4,10,14,2.5,5690,-5422,3276
0045,g9,2,5,7,2.5,1638,-4800,-4800
0046,g1,4,21,25,5.25,13276,-8711,13276
0047,g2,2,1,3,0.5,2069,-14400,-14400
0048,g3,7,22,29,3.1429,22562,-4340,20331
0049,g4,1,1,2,1.0,2069,-10311,-10311
0050,g5,11,23,34,2.0909,22810,-2298,22810
0051,g6,2,0,2,0.0,0,-14400,-14400
0052,g7,2,9,11,4.5,862,-11911,-3556
0053,g8,3,7,10,2.3333,0,-15644,-9600
0054,g9,1,1,2,1.0,0,-12267,-12267
0055,g1,1,1,2,1.0,0,-6489,-6489
0056,g2,3,5,8,1.6667,5948,-6222,-6222
0057,g3,4,11,15,2.75,3362,-6578,517
0058,g4,2,4,6,2.0,0,-9156,-8711
0059,g5,3,10,13,3.3333,5000,-7022,-178
0060,g6,6,11,17,1.8333,9224,-1422,3362
0061,g7,4,10,14,2.5,7845,-6222,345
0062,g8,2,5,7,2.5,1379,-6311,-2222
0063,g9,1,9,10,9.0,7155,-5156,-1956
0064,g1,6,14,20,2.3333,10862,-7822,10690
0065,g2,3,6,9,2.0,1724,-11733,-11733
0066,g3,4,6,10,1.5,7069,-1511,5172
0067,g4,3,8,11,2.6667,0,-11378,-4622
0068,g5,6,5,11,0.8333,3103,-4444,2759
0069,g6,5,20,25,4.0,15690,-5867,12241
0070,g7,6,14,20,2.3333,4569,-4622,2931
0071,g8,7,12,19,1.7143,12414,-3200,11552
0072,g9,1,3,4,3.0,1724,-3644,431
0073,g1,5,3,8,0.6,86,-7467,-7022
0074,g2,5,19,24,3.8,23306,-3574,18099
0075,g3,5,11,16,2.2,9397,-1867,7586
0076,g4,3,14,17,4.6667,9914,-9333,8621
0077,g5,6,21,27,3.5,27273,-2043,20579
