order,time,machine,group,source
1,10:28,0069,g6,PSCUBE history CSV status=初当り
2,10:42,0050,g5,PSCUBE history CSV status=初当り
3,11:37,0057,g3,PSCUBE history CSV status=初当り
4,11:39,0039,g3,PSCUBE history CSV status=初当り
5,11:51,0056,g2,PSCUBE history CSV status=初当り
6,12:06,0040,g4,PSCUBE history CSV status=初当り
7,12:06,0077,g5,PSCUBE history CSV status=初当り
8,12:25,0059,g5,PSCUBE history CSV status=初当り
9,12:32,0060,g6,PSCUBE history CSV status=初当り
10,12:33,0047,g2,PSCUBE history CSV status=初当り
11,12:34,0048,g3,PSCUBE history CSV status=初当り
12,12:56,0065,g2,PSCUBE history CSV status=初当り
13,12:57,0074,g2,PSCUBE history CSV status=初当り
14,13:09,0064,g1,PSCUBE history CSV status=初当り
15,13:21,0070,g7,PSCUBE history CSV status=初当り
16,13:30,0063,g9,PSCUBE history CSV status=初当り
17,13:31,0042,g6,PSCUBE history CSV status=初当り
18,13:38,0052,g7,PSCUBE history CSV status=初当り
19,14:05,0049,g4,PSCUBE history CSV status=初当り
20,14:05,0071,g8,PSCUBE history CSV status=初当り
21,14:08,0046,g1,PSCUBE history CSV status=初当り
22,14:09,0058,g4,PSCUBE history CSV status=初当り
23,14:26,0044,g8,PSCUBE history CSV status=初当り
24,14:39,0068,g5,PSCUBE history CSV status=初当り
25,14:41,0061,g7,PSCUBE history CSV status=初当り
26,15:01,0045,g9,PSCUBE history CSV status=初当り
27,15:14,0073,g1,PSCUBE history CSV status=初当り
28,15:20,0076,g4,PSCUBE history CSV status=初当り
29,15:28,0062,g8,PSCUBE history CSV status=初当り
30,15:32,0053,g8,PSCUBE history CSV status=初当り
31,15:59,0075,g3,PSCUBE history CSV status=初当り
32,16:00,0067,g4,PSCUBE history CSV status=初当り
33,16:05,0066,g3,PSCUBE history CSV status=初当り
34,16:09,0055,g1,PSCUBE history CSV status=初当り
35,16:25,0072,g9,PSCUBE history CSV status=初当り
36,16:29,0041,g5,PSCUBE history CSV status=初当り
37,16:31,0043,g7,PSCUBE history CSV status=初当り
38,16:56,0054,g9,PSCUBE history CSV status=初当り
39,17:05,0051,g6,PSCUBE history CSV status=初当り
