date,machine,status,n_observations,n_fft,regime,long_k,long_frequency,long_period,long_rank,long_relative_power,mid_k,mid_frequency,mid_period,mid_rank,mid_relative_power,short_k,short_frequency,short_period,short_rank,short_relative_power,long_phase,long_wave_value,long_amplitude,long_x,long_y,long_region,long_top_side,mid_phase,mid_wave_value,mid_amplitude,mid_x,mid_y,mid_region,mid_top_side,short_phase,short_wave_value,short_amplitude,short_x,short_y,short_region,short_top_side,top_wave_count,top_wave_pattern,centroid_x,centroid_y,centroid_y_offset,centroid_region,phase_alignment_score,alignment_threshold_asof,high_alignment_asof,max_pair_distance,convergence_score,convergence_threshold_asof,phase_convergence_asof,bullish,next_day_bullish
2026-06-27,049,INSUFFICIENT_HISTORY,1,,INSUFFICIENT_HISTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False
2026-06-28,049,INSUFFICIENT_HISTORY,2,,INSUFFICIENT_HISTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True
2026-06-29,049,INSUFFICIENT_HISTORY,3,,INSUFFICIENT_HISTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False
2026-06-30,049,INSUFFICIENT_HISTORY,4,,INSUFFICIENT_HISTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
2026-07-01,049,INSUFFICIENT_HISTORY,5,,INSUFFICIENT_HISTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
2026-07-02,049,INSUFFICIENT_HISTORY,6,,INSUFFICIENT_HISTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True
2026-07-03,049,INSUFFICIENT_HISTORY,7,,INSUFFICIENT_HISTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False
2026-07-04,049,INSUFFICIENT_HISTORY,8,,INSUFFICIENT_HISTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True
2026-07-05,049,INSUFFICIENT_HISTORY,9,,INSUFFICIENT_HISTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True
2026-07-06,049,INSUFFICIENT_HISTORY,10,,INSUFFICIENT_HISTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True
2026-07-07,049,INSUFFICIENT_HISTORY,11,,INSUFFICIENT_HISTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True
2026-07-08,049,INSUFFICIENT_HISTORY,12,,INSUFFICIENT_HISTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False
2026-07-09,049,INSUFFICIENT_HISTORY,13,,INSUFFICIENT_HISTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
2026-07-10,049,INSUFFICIENT_HISTORY,14,,INSUFFICIENT_HISTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
2026-07-11,049,INSUFFICIENT_HISTORY,15,,INSUFFICIENT_HISTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True
2026-07-12,049,INSUFFICIENT_HISTORY,16,,INSUFFICIENT_HISTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True
2026-07-13,049,INSUFFICIENT_HISTORY,17,,INSUFFICIENT_HISTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False
2026-07-14,049,INSUFFICIENT_HISTORY,18,,INSUFFICIENT_HISTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True
2026-07-15,049,INSUFFICIENT_HISTORY,19,,INSUFFICIENT_HISTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False
2026-07-16,049,INSUFFICIENT_HISTORY,20,,INSUFFICIENT_HISTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
2026-07-17,049,VALID,21,32,TRANSITION,8,0.25,4.0,3,0.1448798353046692,10,0.3125,3.2,2,0.1669863180580399,14,0.4375,2.2857142857142856,1,0.21136314123682615,158.30799800314617,12452.873942572425,11095.761960430847,339.82028445251734,89.8953708207995,TOP,True,27.58072643811738,-10558.529722952764,11912.244637993252,322.9815953218789,233.99577713642768,BOTTOM,False,328.5950730876657,-9470.29931972787,13401.943623734527,273.58744341938535,233.2623480693063,BOTTOM,False,1,LONG,312.1297743979272,185.7178320088445,-4.2821679911554895,RIGHT,0.2894930698865545,,,157.92681658506893,0.2821508337042321,,,False,False
2026-07-18,049,VALID,22,32,TRANSITION,8,0.25,4.0,2,0.15858364326781446,10,0.3125,3.2,3,0.13411217356019645,14,0.4375,2.2857142857142856,1,0.23482253754419088,319.7871892868893,-10514.514976441898,11314.965459761077,265.41810927173685,230.90358696834312,BOTTOM,False,52.55297809214517,-6879.8113033212085,10405.384613586584,346.4783105093532,225.5958308415226,RIGHT,False,136.0151276126321,7486.915463596695,13768.731325403785,370.1584930092883,117.31035610541892,TOP,True,1,SHORT,327.3516375967928,191.2699246384282,1.2699246384281935,RIGHT,0.355206517746905,,,154.5120386357229,0.2976725516558051,,,False,True
