centroid_region,high_alignment,samples,bullish_count,bullish_rate,next_day_samples,next_day_bullish_count,next_day_bullish_rate
TOP,False,19,13,68.42105263157895,19,7,36.84210526315789
TOP,True,2,2,100.0,2,0,0.0
RIGHT,False,12,5,41.66666666666667,12,9,75.0
RIGHT,True,4,2,50.0,4,2,50.0
BOTTOM,False,5,1,20.0,4,2,50.0
BOTTOM,True,3,0,0.0,3,2,66.66666666666666
LEFT,False,12,5,41.66666666666667,12,6,50.0
LEFT,True,4,2,50.0,4,1,25.0
